a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Alexis Ivanovitch,Antonida Vassilievna Tarassevitcha,adverbs,51,25,19,0.76,0.8235294117647058,-0.06352941176470583,M,major,F,major
Alexis Ivanovitch,Antonida Vassilievna Tarassevitcha,articles,51,30,17,0.5666666666666667,0.6078431372549019,-0.04117647058823526,M,major,F,major
Alexis Ivanovitch,Antonida Vassilievna Tarassevitcha,auxiliary_verbs,51,35,28,0.8,0.8627450980392157,-0.06274509803921569,M,major,F,major
Alexis Ivanovitch,Antonida Vassilievna Tarassevitcha,conjunctions,51,26,18,0.6923076923076923,0.7647058823529411,-0.07239819004524883,M,major,F,major
Alexis Ivanovitch,Antonida Vassilievna Tarassevitcha,impersonal_pronouns,51,17,9,0.5294117647058824,0.6666666666666666,-0.13725490196078427,M,major,F,major
Alexis Ivanovitch,Antonida Vassilievna Tarassevitcha,negations,51,17,9,0.5294117647058824,0.5294117647058824,0.0,M,major,F,major
Alexis Ivanovitch,Antonida Vassilievna Tarassevitcha,personal_pronouns,51,35,29,0.8285714285714286,0.8627450980392157,-0.034173669467787104,M,major,F,major
Alexis Ivanovitch,Antonida Vassilievna Tarassevitcha,prepositions,51,35,26,0.7428571428571429,0.7450980392156863,-0.0022408963585434094,M,major,F,major
Alexis Ivanovitch,Antonida Vassilievna Tarassevitcha,quantifiers,51,24,12,0.5,0.39215686274509803,0.10784313725490197,M,major,F,major
Alexis Ivanovitch,Marqis De Griers,adverbs,19,13,11,0.8461538461538461,0.7368421052631579,0.10931174089068829,M,major,M,intermediate
Alexis Ivanovitch,Marqis De Griers,articles,19,13,9,0.6923076923076923,0.7368421052631579,-0.04453441295546556,M,major,M,intermediate
Alexis Ivanovitch,Marqis De Griers,auxiliary_verbs,19,16,12,0.75,0.7894736842105263,-0.03947368421052633,M,major,M,intermediate
Alexis Ivanovitch,Marqis De Griers,conjunctions,19,14,7,0.5,0.5789473684210527,-0.07894736842105265,M,major,M,intermediate
Alexis Ivanovitch,Marqis De Griers,impersonal_pronouns,19,15,8,0.5333333333333333,0.5789473684210527,-0.04561403508771933,M,major,M,intermediate
Alexis Ivanovitch,Marqis De Griers,negations,19,11,7,0.6363636363636364,0.47368421052631576,0.1626794258373206,M,major,M,intermediate
Alexis Ivanovitch,Marqis De Griers,personal_pronouns,19,18,12,0.6666666666666666,0.6842105263157895,-0.01754385964912286,M,major,M,intermediate
Alexis Ivanovitch,Marqis De Griers,prepositions,19,17,14,0.8235294117647058,0.8421052631578947,-0.018575851393188847,M,major,M,intermediate
Alexis Ivanovitch,Marqis De Griers,quantifiers,19,11,7,0.6363636363636364,0.47368421052631576,0.1626794258373206,M,major,M,intermediate
Alexis Ivanovitch,Mlle. Blanche,adverbs,16,6,4,0.6666666666666666,0.8125,-0.14583333333333337,M,major,F,intermediate
Alexis Ivanovitch,Mlle. Blanche,articles,16,9,5,0.5555555555555556,0.4375,0.11805555555555558,M,major,F,intermediate
Alexis Ivanovitch,Mlle. Blanche,auxiliary_verbs,16,9,8,0.8888888888888888,0.8125,0.07638888888888884,M,major,F,intermediate
Alexis Ivanovitch,Mlle. Blanche,conjunctions,16,8,6,0.75,0.6875,0.0625,M,major,F,intermediate
Alexis Ivanovitch,Mlle. Blanche,impersonal_pronouns,16,10,9,0.9,0.625,0.275,M,major,F,intermediate
Alexis Ivanovitch,Mlle. Blanche,negations,16,6,3,0.5,0.5625,-0.0625,M,major,F,intermediate
Alexis Ivanovitch,Mlle. Blanche,personal_pronouns,16,10,8,0.8,0.8125,-0.012499999999999956,M,major,F,intermediate
Alexis Ivanovitch,Mlle. Blanche,prepositions,16,9,7,0.7777777777777778,0.75,0.02777777777777779,M,major,F,intermediate
Alexis Ivanovitch,Mlle. Blanche,quantifiers,16,9,4,0.4444444444444444,0.5625,-0.11805555555555558,M,major,F,intermediate
Alexis Ivanovitch,Mr. Astley,adverbs,56,39,32,0.8205128205128205,0.7678571428571429,0.05265567765567758,M,major,M,intermediate
Alexis Ivanovitch,Mr. Astley,articles,56,28,22,0.7857142857142857,0.6071428571428571,0.1785714285714286,M,major,M,intermediate
Alexis Ivanovitch,Mr. Astley,auxiliary_verbs,56,41,35,0.8536585365853658,0.8392857142857143,0.014372822299651533,M,major,M,intermediate
Alexis Ivanovitch,Mr. Astley,conjunctions,56,35,29,0.8285714285714286,0.7678571428571429,0.06071428571428572,M,major,M,intermediate
Alexis Ivanovitch,Mr. Astley,impersonal_pronouns,56,36,28,0.7777777777777778,0.6964285714285714,0.0813492063492064,M,major,M,intermediate
Alexis Ivanovitch,Mr. Astley,negations,56,24,13,0.5416666666666666,0.5178571428571429,0.023809523809523725,M,major,M,intermediate
Alexis Ivanovitch,Mr. Astley,personal_pronouns,56,47,45,0.9574468085106383,0.9464285714285714,0.01101823708206695,M,major,M,intermediate
Alexis Ivanovitch,Mr. Astley,prepositions,56,42,38,0.9047619047619048,0.8928571428571429,0.011904761904761862,M,major,M,intermediate
