a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Alexis Ivanovitch,Marqis De Griers,adverbs,5,4,2,0.5,0.4,0.09999999999999998,M,major,M,intermediate
Alexis Ivanovitch,Marqis De Griers,articles,5,3,3,1.0,0.6,0.4,M,major,M,intermediate
Alexis Ivanovitch,Marqis De Griers,auxiliary_verbs,5,4,2,0.5,0.4,0.09999999999999998,M,major,M,intermediate
Alexis Ivanovitch,Marqis De Griers,conjunctions,5,3,3,1.0,0.6,0.4,M,major,M,intermediate
Alexis Ivanovitch,Marqis De Griers,impersonal_pronouns,5,4,3,0.75,0.6,0.15000000000000002,M,major,M,intermediate
Alexis Ivanovitch,Marqis De Griers,personal_pronouns,5,4,2,0.5,0.4,0.09999999999999998,M,major,M,intermediate
Alexis Ivanovitch,Marqis De Griers,prepositions,5,4,1,0.25,0.2,0.04999999999999999,M,major,M,intermediate
Alexis Ivanovitch,Marqis De Griers,quantifiers,5,4,1,0.25,0.2,0.04999999999999999,M,major,M,intermediate
Alexis Ivanovitch,The General,adverbs,5,4,3,0.75,0.8,-0.050000000000000044,M,major,M,intermediate
Alexis Ivanovitch,The General,articles,5,4,2,0.5,0.6,-0.09999999999999998,M,major,M,intermediate
Alexis Ivanovitch,The General,auxiliary_verbs,5,4,4,1.0,1.0,0.0,M,major,M,intermediate
Alexis Ivanovitch,The General,conjunctions,5,3,3,1.0,0.8,0.19999999999999996,M,major,M,intermediate
Alexis Ivanovitch,The General,personal_pronouns,5,4,4,1.0,1.0,0.0,M,major,M,intermediate
Alexis Ivanovitch,The General,prepositions,5,4,3,0.75,0.8,-0.050000000000000044,M,major,M,intermediate
Antonida Vassilievna Tarassevitcha,Alexis Ivanovitch,adverbs,6,4,2,0.5,0.3333333333333333,0.16666666666666669,F,major,M,major
Antonida Vassilievna Tarassevitcha,Alexis Ivanovitch,articles,6,4,2,0.5,0.5,0.0,F,major,M,major
Antonida Vassilievna Tarassevitcha,Alexis Ivanovitch,auxiliary_verbs,6,6,5,0.8333333333333334,0.8333333333333334,0.0,F,major,M,major
Antonida Vassilievna Tarassevitcha,Alexis Ivanovitch,conjunctions,6,4,3,0.75,0.6666666666666666,0.08333333333333337,F,major,M,major
Antonida Vassilievna Tarassevitcha,Alexis Ivanovitch,impersonal_pronouns,6,4,1,0.25,0.16666666666666666,0.08333333333333334,F,major,M,major
Antonida Vassilievna Tarassevitcha,Alexis Ivanovitch,negations,6,6,3,0.5,0.5,0.0,F,major,M,major
Antonida Vassilievna Tarassevitcha,Alexis Ivanovitch,personal_pronouns,6,6,5,0.8333333333333334,0.8333333333333334,0.0,F,major,M,major
