a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Alexis Ivanovitch,Antonida Vassilievna Tarassevitcha,9,51,244,-0.033963944552179826,-0.03246544519447122,M,major,F,major
Alexis Ivanovitch,Marqis De Griers,9,19,128,0.021109042316472655,0.010690789473684206,M,major,M,intermediate
Alexis Ivanovitch,Mlle. Blanche,9,16,76,0.024537037037037038,0.03700657894736842,M,major,F,intermediate
Alexis Ivanovitch,Mr. Astley,9,56,316,0.062155104820733595,0.05470162748643761,M,major,M,intermediate
Alexis Ivanovitch,Polina Alexandrovna,9,59,364,0.008920477075547772,0.010243993294840735,M,major,F,major
Alexis Ivanovitch,The General,9,17,114,0.006636827225062512,-0.0036119711042311748,M,major,M,intermediate
Antonida Vassilievna Tarassevitcha,Alexis Ivanovitch,9,59,374,0.022371889280015267,0.016088099338348604,F,major,M,major
Antonida Vassilievna Tarassevitcha,Marqis De Griers,6,6,33,0.0,0.0,F,major,M,intermediate
Antonida Vassilievna Tarassevitcha,Polina Alexandrovna,9,13,91,-0.01664138330805,-0.015215553677092165,F,major,F,major
Antonida Vassilievna Tarassevitcha,The General,9,14,93,0.013686313686313699,0.0023041474654378036,F,major,M,intermediate
Marqis De Griers,Alexis Ivanovitch,9,21,127,-0.021970159470159442,-0.02437195350581174,M,intermediate,M,major
Mlle. Blanche,Alexis Ivanovitch,9,17,112,0.020289768328984006,0.012079831932773096,F,intermediate,M,major
Mr. Astley,Alexis Ivanovitch,9,59,385,0.03435410759649425,0.02799911952454325,M,intermediate,M,major
Polina Alexandrovna,Alexis Ivanovitch,9,61,367,-0.008354558824829241,-0.006789654710322926,F,major,M,major
Polina Alexandrovna,Antonida Vassilievna Tarassevitcha,9,13,73,0.039774114774114765,0.032665964172813484,F,major,F,major
The Croupier,Antonida Vassilievna Tarassevitcha,1,10,7,0.028571428571428525,0.028571428571428525,M,minor,F,major
The General,Alexis Ivanovitch,9,17,100,-0.03224988519106166,-0.024117647058823525,M,intermediate,M,major
The General,Antonida Vassilievna Tarassevitcha,8,13,69,-0.019828088578088612,-0.012263099219620991,M,intermediate,F,major
The General,Marqis De Griers,1,6,5,-0.06666666666666665,-0.06666666666666665,M,intermediate,M,intermediate
