family,gender,mean_conv
adverbs,F,0.033333333333333354
adverbs,M,0.012857142857142845
articles,F,0.2
articles,M,0.12976190476190477
auxiliary_verbs,F,0.0
auxiliary_verbs,M,0.02053571428571427
conjunctions,F,0.09166666666666667
conjunctions,M,0.07916666666666665
impersonal_pronouns,F,0.06666666666666667
impersonal_pronouns,M,0.06388888888888888
negations,F,-0.033333333333333354
negations,M,0.125
personal_pronouns,F,0.0
personal_pronouns,M,0.035912698412698396
prepositions,F,-0.04999999999999999
prepositions,M,0.023095238095238068
quantifiers,F,0.06666666666666665
quantifiers,M,0.0875
