family,gender,mean_conv
adverbs,F,-0.0012735030013537984
adverbs,M,-0.0004067698169262274
articles,F,0.0395946645849976
articles,M,0.012763947693659137
auxiliary_verbs,F,-0.0025249319517829604
auxiliary_verbs,M,-0.011012130158599726
conjunctions,F,-0.01744008393341681
conjunctions,M,-0.04115745626592975
impersonal_pronouns,F,-0.0051956629565907035
impersonal_pronouns,M,0.06040829348547174
negations,F,-0.037285733502440535
negations,M,0.02440480715657628
personal_pronouns,F,-0.0047165166828413985
personal_pronouns,M,-0.022588863174968322
prepositions,F,0.02311531292575004
prepositions,M,-0.01506020891795637
quantifiers,F,-0.009501231840588974
quantifiers,M,0.005117422954960296
