family,gender,mean_conv
adverbs,F,-0.0004171658541959472
adverbs,M,-0.0010670900897045315
articles,F,-0.006291634574626559
articles,M,0.036262464032260695
auxiliary_verbs,F,0.011883379900850047
auxiliary_verbs,M,-0.01803299433055905
conjunctions,F,-0.04325813208852688
conjunctions,M,-0.024120480481072803
impersonal_pronouns,F,0.000206609537973674
impersonal_pronouns,M,0.04740646115115824
negations,F,0.04043536037896938
negations,M,-0.023596747747739746
personal_pronouns,F,-0.011673831291810072
personal_pronouns,M,-0.015557847032198842
prepositions,F,0.011759114499970094
prepositions,M,-0.0031173066969811974
quantifiers,F,-0.005868800179032287
quantifiers,M,0.0020829858912195126
