family,importance,mean_conv
adverbs,intermediate,-0.036640450765837766
adverbs,major,-0.019634244758124204
adverbs,minor,0.0
articles,intermediate,0.016208741402239855
articles,major,0.008528082381985765
auxiliary_verbs,intermediate,0.021490347282506254
auxiliary_verbs,major,-0.002801161581009448
conjunctions,intermediate,-0.03926811023074251
conjunctions,major,-0.0005558919077340168
impersonal_pronouns,intermediate,0.07225593034416562
impersonal_pronouns,major,0.01278352496003919
negations,intermediate,0.014634501205708628
negations,major,0.03967276018481892
personal_pronouns,intermediate,0.018201863925548123
personal_pronouns,major,-0.0016276692815328324
prepositions,intermediate,0.012119422667852582
prepositions,major,0.003398516071018487
quantifiers,intermediate,0.0638225912374519
quantifiers,major,0.055100960232458085
quantifiers,minor,0.08333333333333331
