family,importance,mean_conv
adverbs,intermediate,0.004761904761904763
adverbs,major,0.02916666666666666
articles,intermediate,0.0892857142857143
articles,major,0.17500000000000002
auxiliary_verbs,intermediate,-0.008928571428571452
auxiliary_verbs,major,0.024999999999999994
conjunctions,intermediate,-0.1416666666666667
conjunctions,major,0.19583333333333333
impersonal_pronouns,intermediate,0.020833333333333315
impersonal_pronouns,major,0.09444444444444444
negations,intermediate,0.125
negations,major,-0.033333333333333354
personal_pronouns,intermediate,0.038492063492063466
personal_pronouns,major,0.024999999999999994
personal_pronouns,minor,0.0
prepositions,intermediate,0.038492063492063466
prepositions,major,-0.02500000000000001
quantifiers,intermediate,0.125
quantifiers,major,0.061111111111111095
