family,importance,mean_conv
adverbs,intermediate,0.00042226744121063307
adverbs,major,-0.011533596255106637
articles,intermediate,0.04523323381997357
articles,major,-0.008397135736140461
auxiliary_verbs,intermediate,0.010562037165227588
auxiliary_verbs,major,-0.005594623397102279
conjunctions,intermediate,-0.002982462130019422
conjunctions,major,-0.021790613070056527
impersonal_pronouns,intermediate,0.08626088143146723
impersonal_pronouns,major,-0.02072005183945784
negations,intermediate,0.034064725570209134
negations,major,-0.05993111521603681
personal_pronouns,intermediate,0.009013792787471742
personal_pronouns,major,-0.00933693260612281
prepositions,intermediate,0.001981975319462892
prepositions,major,-0.0004275086902228535
quantifiers,intermediate,-0.044038051789796556
quantifiers,major,-0.03332766294588026
quantifiers,minor,-0.11428571428571432
