family,importance,mean_conv
adverbs,intermediate,-0.015640695304008023
adverbs,major,-0.037582468710051276
articles,intermediate,0.05528227792159681
articles,major,-0.023944676929590826
auxiliary_verbs,intermediate,0.00457975052808172
auxiliary_verbs,major,-6.688622996928941e-06
conjunctions,intermediate,-0.008067365702261773
conjunctions,major,-0.01203116401247245
impersonal_pronouns,intermediate,0.046677150392320683
impersonal_pronouns,major,-0.005924687348329258
negations,intermediate,0.05196865827670779
negations,major,0.03954644935040798
personal_pronouns,intermediate,-0.005002438926011136
personal_pronouns,major,0.004336843668446464
prepositions,intermediate,0.006372769530664272
prepositions,major,0.0004891551334732513
quantifiers,intermediate,0.07694998414038663
quantifiers,major,0.03354637850080419
