family,importance,mean_conv
adverbs,intermediate,0.033333333333333305
adverbs,major,0.007738095238095252
articles,intermediate,0.15000000000000002
articles,major,0.1630952380952381
auxiliary_verbs,intermediate,0.04999999999999999
auxiliary_verbs,major,-0.004464285714285726
conjunctions,intermediate,0.13333333333333333
conjunctions,major,0.033333333333333326
impersonal_pronouns,intermediate,0.15000000000000002
impersonal_pronouns,major,0.04374999999999999
negations,major,0.01944444444444443
personal_pronouns,intermediate,0.07777777777777777
personal_pronouns,major,-0.003571428571428581
prepositions,intermediate,0.04444444444444442
prepositions,major,-0.02946428571428572
quantifiers,intermediate,0.04999999999999999
quantifiers,major,0.0861111111111111
