family,importance,mean_conv
adverbs,intermediate,-0.029255904913799667
adverbs,major,0.018069811775889236
adverbs,minor,0.0
articles,intermediate,0.04767766955266956
articles,major,0.008045757507503087
articles,minor,0.0
auxiliary_verbs,intermediate,-0.021335108733482717
auxiliary_verbs,major,0.003147372470938013
auxiliary_verbs,minor,0.0
conjunctions,intermediate,-0.04948974636474636
conjunctions,major,-0.017848610861326445
impersonal_pronouns,intermediate,0.08338293650793652
impersonal_pronouns,major,-0.004484839121147207
impersonal_pronouns,minor,0.0
negations,intermediate,-0.048163179413179415
negations,major,0.02472972850252323
personal_pronouns,intermediate,-0.03165998495316391
personal_pronouns,major,-0.003851162011614022
personal_pronouns,minor,0.0
prepositions,intermediate,-0.0032837532837532743
prepositions,major,0.007271309254163951
prepositions,minor,0.0
quantifiers,intermediate,0.008524015666872812
quantifiers,major,-0.006353189095242659
