character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
The General,3,3,0.15638074627844428,0.006431505956003801,0.020833333333333332,0.0,M,intermediate
Alexis Ivanovitch,6,6,0.1078464358943928,0.107545613202911,0.3611111111111111,0.5416666666666666,M,major
The Croupier,1,0,0.0833333333333333,0.0,0.0,0.0,M,minor
Polina Alexandrovna,2,2,0.0368432340628599,0.0181718394190713,0.0,0.0,F,major
Antonida Vassilievna Tarassevitcha,7,5,0.0328410233158878,0.15266534939619741,0.4097222222222222,0.5138888888888888,F,major
Marqis De Griers,2,3,0.0261904761904761,0.1366666666666665,0.0,0.0,M,intermediate
Mr. Astley,1,1,0.0259464450600184,0.0544300144300144,0.0,0.0,M,intermediate
Mlle. Blanche,1,2,0.0117924528301886,0.0052631578947368,0.0,0.0,F,intermediate
Martha,1,1,0.0,0.0,0.0,0.0,F,minor
Potapitch,0,1,0.0,0.0,0.0,0.0,M,minor
