pair,adverbs,articles,auxiliary_verbs,conjunctions,impersonal_pronouns,negations,personal_pronouns,prepositions,quantifiers
Alexis Ivanovitch→Antonida Vassilievna Tarassevitcha,-0.0635294117647058,-0.0411764705882352,-0.0627450980392156,-0.0723981900452488,-0.1372549019607842,0.0,-0.0341736694677871,-0.0022408963585434,0.1078431372549019
Alexis Ivanovitch→Marqis De Griers,0.1093117408906882,-0.0445344129554655,-0.0394736842105263,-0.0789473684210526,-0.0456140350877193,0.1626794258373206,-0.0175438596491228,-0.0185758513931888,0.1626794258373206
Alexis Ivanovitch→Mlle. Blanche,,,,,0.275,,-0.0124999999999999,,
Alexis Ivanovitch→Mr. Astley,0.0526556776556775,0.1785714285714286,0.0143728222996515,0.0607142857142857,0.0813492063492064,0.0238095238095237,0.0110182370820669,0.0119047619047618,0.125
Alexis Ivanovitch→Polina Alexandrovna,-0.0210022107590273,-0.0347903657448706,0.0232635427052175,-0.0066143034311698,0.0995219469795741,0.0284745762711864,0.0032594524119947,0.0288496213487197,-0.0406779661016948
Alexis Ivanovitch→The General,-0.0904977375565611,0.0481283422459892,0.0,-0.0470588235294118,-0.0735294117647058,,0.0,0.0336134453781512,
Antonida Vassilievna Tarassevitcha→Alexis Ivanovitch,0.0325147007955725,0.0044603033006244,-0.0088135593220338,-0.0365947611710323,-0.0391134289439373,0.1610169491525424,0.0281355932203389,0.0045197740112994,0.0552214324767632
Antonida Vassilievna Tarassevitcha→Polina Alexandrovna,-0.0153846153846154,,0.0,0.0846153846153845,-0.032051282051282,,-0.0192307692307692,-0.0419580419580419,
Antonida Vassilievna Tarassevitcha→The General,-0.0194805194805195,,-0.0238095238095237,0.0129870129870129,0.0428571428571428,,-0.0109890109890109,-0.0164835164835164,
Marqis De Griers→Alexis Ivanovitch,-0.1333333333333333,-0.0119047619047618,-0.044642857142857,-0.0476190476190475,0.1318681318681318,-0.1125541125541125,-0.0190476190476189,-0.0297619047619047,0.0692640692640692
Mlle. Blanche→Alexis Ivanovitch,-0.0672268907563025,,0.0117647058823529,-0.085972850678733,-0.0049019607843137,0.088235294117647,0.0196078431372548,-0.0168067226890756,0.2117647058823529
Mr. Astley→Alexis Ivanovitch,0.0109227871939736,0.0691708657810352,0.0142372881355932,0.0034668721109398,-0.0268706076891277,0.1598870056497174,0.009685230024213,0.0257496740547588,0.0429378531073446
Polina Alexandrovna→Alexis Ivanovitch,-0.0323965651834503,0.0496926229508196,0.0179113539769277,-0.0160291438979963,0.0201765447667087,-0.1200423056583818,-0.0034678436317779,-0.0042765502494653,0.0132408575031525
Polina Alexandrovna→Antonida Vassilievna Tarassevitcha,,,,,,,0.0769230769230768,0.0538461538461538,
The General→Alexis Ivanovitch,-0.0374331550802138,,0.0,-0.0641711229946523,0.0452488687782804,,0.0,0.0336134453781512,
The General→Antonida Vassilievna Tarassevitcha,-0.0192307692307692,,0.0489510489510489,,,,-0.013986013986014,-0.0461538461538461,
