a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Alexis Ivanovitch,Mr. Astley,9,56,316,0.0621551048207335,0.0547016274864376,M,major,M,intermediate
Alexis Ivanovitch,Mlle. Blanche,9,16,76,0.024537037037037,0.0370065789473684,M,major,F,intermediate
Polina Alexandrovna,Antonida Vassilievna Tarassevitcha,9,13,73,0.0397741147741147,0.0326659641728134,F,major,F,major
The Croupier,Antonida Vassilievna Tarassevitcha,1,10,7,0.0285714285714285,0.0285714285714285,M,minor,F,major
Mr. Astley,Alexis Ivanovitch,9,59,385,0.0343541075964942,0.0279991195245432,M,intermediate,M,major
Antonida Vassilievna Tarassevitcha,Alexis Ivanovitch,9,59,374,0.0223718892800152,0.0160880993383486,F,major,M,major
Mlle. Blanche,Alexis Ivanovitch,9,17,112,0.020289768328984,0.012079831932773,F,intermediate,M,major
Alexis Ivanovitch,Marqis De Griers,9,19,128,0.0211090423164726,0.0106907894736842,M,major,M,intermediate
Alexis Ivanovitch,Polina Alexandrovna,9,59,364,0.0089204770755477,0.0102439932948407,M,major,F,major
Antonida Vassilievna Tarassevitcha,The General,9,14,93,0.0136863136863136,0.0023041474654378,F,major,M,intermediate
Antonida Vassilievna Tarassevitcha,Marqis De Griers,6,6,33,0.0,0.0,F,major,M,intermediate
Alexis Ivanovitch,The General,9,17,114,0.0066368272250625,-0.0036119711042311,M,major,M,intermediate
Polina Alexandrovna,Alexis Ivanovitch,9,61,367,-0.0083545588248292,-0.0067896547103229,F,major,M,major
The General,Antonida Vassilievna Tarassevitcha,8,13,69,-0.0198280885780886,-0.0122630992196209,M,intermediate,F,major
Antonida Vassilievna Tarassevitcha,Polina Alexandrovna,9,13,91,-0.01664138330805,-0.0152155536770921,F,major,F,major
The General,Alexis Ivanovitch,9,17,100,-0.0322498851910616,-0.0241176470588235,M,intermediate,M,major
Marqis De Griers,Alexis Ivanovitch,9,21,127,-0.0219701594701594,-0.0243719535058117,M,intermediate,M,major
Alexis Ivanovitch,Antonida Vassilievna Tarassevitcha,9,51,244,-0.0339639445521798,-0.0324654451944712,M,major,F,major
The General,Marqis De Griers,1,6,5,-0.0666666666666666,-0.0666666666666666,M,intermediate,M,intermediate
