quoteID,quoteText,quoteBy,quoteTo
Q0,I suppose you would like to take them to the Casino to play roulette Well excuse my speaking so plainly but I know how addicted you are to gambling Though I am not your mentor nor wish to be at least I have a right to require that you shall not actually compromise me,The General,['Alexis Ivanovitch']
Q1,I have no money for gambling,Alexis Ivanovitch,['The General']
Q2,But you will soon be in receipt of some,The General,['Alexis Ivanovitch']
Q3,Let us calculate We must translate these roubles into thalers Here take 100 thalers as a round sum The rest will be safe in my hands,The General,['Alexis Ivanovitch']
Q4,You must not be offended at what I say You are too touchy about these things What I have said I have said merely as a warning To do so is no more than my right,The General,['Alexis Ivanovitch']
Q5,Why do I continue to dance attendance upon the General instead of having left him and his family long ago,Alexis Ivanovitch,['Alexis Ivanovitch']
Q6,If one is a man of self respect one risks abuse by so doing and is forced to put up with insults of every kind Both at Paris and on the Rhine and even in Switzerland there are so many Poles with their sympathisers the French at these tables d h te that one cannot get a word in edgeways if one happens only to be a Russian,Alexis Ivanovitch,"['The General', 'Marqis De Griers', 'Mr. Astley']"
Q7,Of course one always learns something everywhere,Marqis De Griers,"['The General', 'Mr. Astley', 'Alexis Ivanovitch']"
Q8,In Paris too I had a dispute with a Pole and then with a French officer who supported him After that a section of the Frenchmen present took my part They did so as soon as I told them the story of how once I threatened to spit into Monsignor s coffee,Alexis Ivanovitch,"['The General', 'Marqis De Griers', 'Mr. Astley']"
Q9,To spit into it,The General,"['Marqis De Griers', 'Mr. Astley', 'Alexis Ivanovitch']"
Q10,Just so You must know that on one occasion when for two days I had felt certain that at any moment I might have to depart for Rome on business I repaired to the Embassy of the Holy See in Paris to have my passport visaed There I encountered a sacristan of about fifty and a man dry and cold of mien After listening politely but with great reserve to my account of myself this sacristan asked me to wait a little I was in a great hurry to depart but of course I sat down pulled out a copy of L Opinion Nationale and fell to reading an extraordinary piece of invective against Russia which it happened to contain As I was thus engaged I heard some one enter an adjoining room and ask for Monsignor after which I saw the sacristan make a low bow to the visitor and then another bow as the visitor took his leave I ventured to remind the good man of my own business also whereupon with an expression of if anything increased dryness he again asked me to wait Soon a third visitor arrived who like myself had come on business he was an Austrian of some sort and as soon as ever he had stated his errand he was conducted upstairs This made me very angry I rose approached the sacristan and told him that since Monsignor was receiving callers his lordship might just as well finish off my affair as well Upon this the sacristan shrunk back in astonishment It simply passed his understanding that any insignificant Russian should dare to compare himself with other visitors of Monsignor s In a tone of the utmost effrontery as though he were delighted to have a chance of insulting me he looked me up and down and then said But I only cried the louder screeched the sacristan again shrinking back in horror Then rushing to the door he spread out his arms as though he would rather die than let me enter,Alexis Ivanovitch,"['The General', 'Marqis De Griers', 'Mr. Astley']"
Q11,But,The General,"['Marqis De Griers', 'Mr. Astley', 'Alexis Ivanovitch']"
Q12,What really saved you was the fact that you proclaimed yourself a heretic and a barbarian Cela n tait pas si b te,Marqis De Griers,"['The General', 'Mr. Astley', 'Alexis Ivanovitch']"
Q13,But is that how Russian subjects ought to be treated Why when they settle here they dare not utter even a word they are ready even to deny the fact that they are Russians At all events at my hotel in Paris I received far more attention from the company after I had told them about the fracas with the sacristan A fat Polish nobleman who had been the most offensive of all who were present at the table d h te at once went upstairs while some of the Frenchmen were simply disgusted when I told them that two years ago I had encountered a man at whom in 1812 a French hero fired for the mere fun of discharging his musket That man was then a boy of ten and his family are still residing in Moscow,Alexis Ivanovitch,"['The General', 'Marqis De Griers', 'Mr. Astley']"
