uid,pair_id,side,text
p00000_A,00000,A,i suppose you would like to take them to the casino to play roulette well excuse my speaking so plainly but i know how addicted you are to gambling though i am not your mentor nor wish to be at least i have a right to require that you shall not actually compromise me
p00001_A,00001,A,but you will soon be in receipt of some let us calculate we must translate these roubles into thalers here take 100 thalers as a round sum the rest will be safe in my hands you must not be offended at what i say you are too touchy about these things what i have said i have said merely as a warning to do so is no more than my right
p00002_A,00002,A,to spit into it
p00003_A,00003,A,oh no it is not true and you you ought to be ashamed of yourself for traducing your own country
p00004_A,00004,A,to what idol
p00005_A,00005,A,my good sir may i ask you what this is that you have gone and done
p00006_A,00006,A,with a german why the german was the baron burmergelm a most important personage i hear that you have been rude both to him and to the baroness
p00007_A,00007,A,but i understand that you simply terrified them my good sir
p00008_A,00008,A,you are only making fun of me
p00009_A,00009,A,enough sir enough i say once and for all i must endeavour to rid myself of you and your impertinence to justify yourself in the eyes of the baron and baroness will be impossible any intercourse with you even though it be confined to a begging of their pardons they would look upon as a degradation i may tell you that on learning that you formed part of my household the baron approached me in the casino and demanded of me additional satisfaction do you understand then what it is that you have entailed upon me upon me my good sir you have entailed upon me the fact of my being forced to sue humbly to the baron and to give him my word of honour that this very day you shall cease to belong to my establishment
p00010_A,00010,A,no i of my own initiative thought that i ought to afford him that satisfaction and with it he was satisfied so we must part good sir it is my duty to hand over to you forty g lden three florins as per the accompanying statement here is the money and here the account which you are at liberty to verify farewell from henceforth we are strangers from you i have never had anything but trouble and unpleasantness i am about to call the landlord and explain to him that from tomorrow onwards i shall no longer be responsible for your hotel expenses also i have the honour to remain your obedient servant
p00011_A,00011,A,what do you intend to go on with this damned nonsense do you not realise the harm that it is doing me i beg of you not to laugh at me sir not to laugh at me for we have police authorities here who out of respect for my rank and for that of the baron in short sir i swear to you that i will have you arrested and marched out of the place to prevent any further brawling on your part do you understand what i say
p00012_A,00012,A,and then you will have ruined my whole family i and my family are her heirs for she has no nearer relatives than ourselves i tell you frankly that my affairs are in great very great disorder how much they are so you yourself are partially aware if she should lose a large sum or maybe her whole fortune what will become of us of my children or of me alexis ivanovitch i beg of you to save us
p00013_A,00013,A,refuse to take her about simply leave her alone
p00014_A,00014,A,stop her stop her
p00015_A,00015,A,oh alexis ivanovitch save me save me have some mercy upon me have mercy mercy
p00016_A,00016,A,in russia or in any well ordered state where there exists a government old women like my mother are placed under proper guardianship yes my good sir do you not know this do you not know this that in russia old women like her are subjected to restraint the devil take them he has gone away and everything which i possess is mortgaged to him i stand stripped to my skin even of the money which you brought me from paris i know not if seven hundred francs be left of course that sum will do to go on with but as regards the future i know nothing i know nothing
p00017_A,00017,A,i have no money for gambling
p00018_A,00018,A,in paris too i had a dispute with a pole and then with a french officer who supported him after that a section of the frenchmen present took my part they did so as soon as i told them the story of how once i threatened to spit into monsignor s coffee
p00019_A,00019,A,i beg pardon yet it would be difficult to say which is the worst of the two russian ineptitude or the german method of growing rich through honest toil
p00020_A,00020,A,i would rather live a wandering life in tents than bow the knee to a german idol
p00021_A,00021,A,to the german method of heaping up riches i have not been here very long but i can tell you that what i have seen and verified makes my tartar blood boil good lord i wish for no virtues of that kind yesterday i went for a walk of about ten versts and everywhere i found that things were even as we read of them in good german picture books that every house has its vater who is horribly beneficent and extraordinarily honourable so honourable is he that it is dreadful to have anything to do with him and i cannot bear people of that sort each such vater has his family and in the evenings they read improving books aloud over their roof trees there murmur elms and chestnuts the sun has sunk to his rest a stork is roosting on the gable and all is beautifully poetic and touching do not be angry general let me tell you something that is even more touching than that i can remember how of an evening my own father now dead used to sit under the lime trees in his little garden and to read books aloud to myself and my mother yes i know how things ought to be done yet every german family is bound to slavery and to submission to its vater they work like oxen and amass wealth like jews suppose the vater has put by a certain number of g lden which he hands over to his eldest son in order that the said son may acquire a trade or a small plot of land well one result is to deprive the daughter of a dowry and so leave her among the unwedded for the same reason the parents will have to sell the younger son into bondage or the ranks of the army in order that he may earn more towards the family capital yes such things are done for i have been making inquiries on the subject it is all done out of sheer rectitude out of a rectitude which is magnified to the point of the younger son believing that he has been rightly sold and that it is simply idyllic for the victim to rejoice when he is made over into pledge what more have i to tell well this that matters bear just as hardly upon the eldest son perhaps he has his gretchen to whom his heart is bound but he cannot marry her for the reason that he has not yet amassed sufficient g lden so the pair wait on in a mood of sincere and virtuous expectation and smilingly deposit themselves in pawn the while gretchen s cheeks grow sunken and she begins to wither until at last after some twenty years their substance has multiplied and sufficient g lden have been honourably and virtuously accumulated then the vater blesses his forty year old heir and the thirty five year old gretchen with the sunken bosom and the scarlet nose after which he bursts into tears reads the pair a lesson on morality and dies in turn the eldest son becomes a virtuous vater and the old story begins again in fifty or sixty years time the grandson of the original vater will have amassed a considerable sum and that sum he will hand over to his son and the latter to his son and so on for several generations until at length there will issue a baron rothschild or a hoppe and company or the devil knows what is it not a beautiful spectacle the spectacle of a century or two of inherited labour patience intellect rectitude character perseverance and calculation with a stork sitting on the roof above it all what is more they think there can never be anything better than this wherefore from their point of view they begin to judge the rest of the world and to censure all who are at fault that is to say who are not exactly like themselves yes there you have it in a nutshell for my own part i would rather grow fat after the russian manner or squander my whole substance at roulette i have no wish to be hoppe and company at the end of five generations i want the money for myself for in no way do i look upon my personality as necessary to or meet to be given over to capital i may be wrong but there you have it those are my views
p00022_A,00022,A,i should be glad if we could come straight to the point probably you are referring to my encounter of today with a german
p00023_A,00023,A,no i have not
p00024_A,00024,A,not in the least you must know that when i was in berlin i frequently used to hear the berliners repeat and repellently prolong a certain phrase namely and happening to meet this couple in the carriage drive i found for some reason or another that this phrase suddenly recurred to my memory and exercised a rousing effect upon my spirits moreover on the three previous occasions that i have met the baroness she has walked towards me as though i were a worm which could easily be crushed with the foot not unnaturally i too possess a measure of self respect wherefore on this occasion i took off my hat and said politely yes i assure you it was said politely then the baron turned round and said whereupon i felt moved to ejaculate in answer twice i shouted it at him the first time in an ordinary tone and the second time with the greatest prolonging of the words of which i was capable that is all
