uid,pair_id,side,text,Segment,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,quantity
p00000_A,00000,A,they are to be put into mr weston s stable papa you know we have settled all that already we talked it all over with mr weston last night and as for james you may be very sure he will always like going to randalls because of his daughter s being housemaid there i only doubt whether he will ever take us anywhere else that was your doing papa you got hannah that good place nobody thought of hannah till you mentioned her james is so obliged to you,1,73.03,64.04,22.47,16.85,1.12,3.37,6.74,4.49,1.12,5.62,0,13.48,12.36,10.11,6.74,1.12,2.25
p00001_A,00001,A,ah poor miss taylor tis a sad business,1,50,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0
p00002_A,00002,A,poor mr and miss woodhouse if you please but i cannot possibly say i have a great regard for you and emma but when it comes to the question of dependence or independence at any rate it must be better to have only one to please than two,1,77.08,64.58,12.5,8.33,4.17,0,4.17,0,0,4.17,4.17,14.58,8.33,6.25,16.67,2.08,6.25
p00003_A,00003,A,i believe it is very true my dear indeed i am afraid i am sometimes very fanciful and troublesome,1,89.47,63.16,26.32,21.05,21.05,0,0,0,0,5.26,0,0,15.79,15.79,5.26,0,0
p00004_A,00004,A,emma knows i never flatter her but i meant no reflection on any body miss taylor has been used to have two persons to please she will now have but one the chances are that she must be a gainer,1,72.5,65,15,12.5,5,0,0,7.5,0,2.5,5,7.5,17.5,5,5,5,5
p00005_A,00005,A,well you want to hear about the wedding and i shall be happy to tell you for we all behaved charmingly every body was punctual every body in their best looks not a tear and hardly a long face to be seen oh no we all felt that we were going to be only half a mile apart and were sure of meeting every day,1,83.08,61.54,12.31,10.77,1.54,4.62,3.08,0,1.54,1.54,6.15,12.31,10.77,6.15,4.62,3.08,13.85
p00006_A,00006,A,dear emma bears every thing so well but mr knightley she is really very sorry to lose poor miss taylor and i am sure she will miss her more than she thinks for,1,75.76,57.58,18.18,15.15,3.03,0,0,12.12,0,3.03,0,9.09,9.09,12.12,12.12,0,6.06
p00007_A,00007,A,it is impossible that emma should not miss such a companion we should not like her so well as we do sir if we could suppose it but she knows how much the marriage is to miss taylor s advantage she knows how very acceptable it must be at miss taylor s time of life to be settled in a home of her own and how important to her to be secure of a comfortable provision and therefore cannot allow herself to feel so much pain as pleasure every friend of miss taylor must be glad to have her so happily married,1,72.55,62.75,13.73,9.8,0,2.94,0,6.86,0,3.92,3.92,14.71,11.76,8.82,8.82,2.94,2.94
p00008_A,00008,A,ah my dear i wish you would not make matches and foretell things for whatever you say always comes to pass pray do not make any more matches,1,89.29,57.14,21.43,14.29,7.14,0,7.14,0,0,7.14,0,7.14,7.14,3.57,3.57,7.14,3.57
p00009_A,00009,A,and have you never known the pleasure and triumph of a lucky guess i pity you i thought you cleverer for depend upon it a lucky guess is never merely luck there is always some talent in it and as to my poor word success which you quarrel with i do not know that i am so entirely without any claim to it you have drawn two pretty pictures but i think there may be a third a something between the do nothing and the do all if i had not promoted mr weston s visits here and given many little encouragements and smoothed many little matters it might not have come to any thing after all i think you must know hartfield enough to comprehend that,1,81.89,70.08,18.11,11.02,6.3,0,4.72,0,0,7.09,5.51,10.24,11.02,8.66,8.66,4.72,8.66
p00010_A,00010,A,a straightforward open hearted man like weston and a rational unaffected woman like miss taylor may be safely left to manage their own concerns you are more likely to have done harm to yourself than good to them by interference,1,62.5,52.5,10,10,0,0,5,0,5,0,5,20,12.5,0,5,0,2.5
p00011_A,00011,A,only one more papa only for mr elton poor mr elton you like mr elton papa i must look about for a wife for him there is nobody in highbury who deserves him and he has been here a whole year and has fitted up his house so comfortably that it would be a shame to have him single any longer and i thought when he was joining their hands to day he looked so very much as if he would like to have the same kind office done for him i think very well of mr elton and this is the only way i have of doing him a service,1,78.38,68.47,18.92,15.32,3.6,0,0.9,9.01,0.9,3.6,5.41,12.61,13.51,9.91,8.11,0.9,7.21
p00012_A,00012,A,with a great deal of pleasure sir at any time and i agree with you entirely that it will be a much better thing invite him to dinner emma and help him to the best of the fish and the chicken but leave him to chuse his own wife depend upon it a man of six or seven and twenty can take care of himself,1,78.46,66.15,16.92,10.77,1.54,0,1.54,7.69,0,6.15,9.23,16.92,4.62,1.54,9.23,0,7.69
p00013_A,00013,A,mrs bates let me propose your venturing on one of these eggs an egg boiled very soft is not unwholesome serle understands boiling an egg better than any body i would not recommend an egg boiled by any body else but you need not be afraid they are very small you see one of our small eggs will not hurt you miss bates let emma help you to a little bit of tart a very little bit ours are all apple tarts you need not be afraid of unwholesome preserves here i do not advise the custard mrs goddard what say you to half a glass of wine a small half glass put into a tumbler of water i do not think it could disagree with you,1,73.23,53.54,14.17,11.81,3.15,1.57,6.3,0,0.79,2.36,7.09,10.24,7.87,3.94,1.57,5.51,9.45
p00014_A,00014,A,oh dear no never,1,100,50,0,0,0,0,0,0,0,0,0,0,0,25,0,50,0
p00015_A,00015,A,by all means we shall be most happy to consider you as one of the party,1,93.75,75,12.5,12.5,0,6.25,6.25,0,0,0,6.25,25,12.5,0,6.25,0,18.75
p00016_A,00016,A,miss woodhouse has given her friend the only beauty she wanted the expression of the eye is most correct but miss smith has not those eyebrows and eyelashes it is the fault of her face that she has them not,1,67.5,60,20,12.5,0,0,0,10,2.5,7.5,10,5,12.5,0,5,5,2.5
p00017_A,00017,A,you have made her too tall emma,1,85.71,57.14,28.57,28.57,0,0,14.29,14.29,0,0,0,0,14.29,14.29,0,0,14.29
p00018_A,00018,A,oh no certainly not too tall not in the least too tall consider she is sitting down which naturally presents a different which in short gives exactly the idea and the proportions must be preserved you know proportions fore shortening oh no it gives one exactly the idea of such a height as miss smith s exactly so indeed,1,69.49,49.15,8.47,3.39,0,0,1.69,1.69,0,5.08,10.17,8.47,3.39,10.17,5.08,6.78,10.17
p00019_A,00019,A,but my dear papa it is supposed to be summer a warm day in summer look at the tree,1,73.68,52.63,10.53,5.26,5.26,0,0,0,0,5.26,10.53,10.53,15.79,0,5.26,0,5.26
p00020_A,00020,A,but it is never safe to sit out of doors my dear,1,91.67,66.67,16.67,8.33,8.33,0,0,0,0,8.33,0,25,8.33,8.33,8.33,8.33,0
p00021_A,00021,A,you sir may say any thing but i must confess that i regard it as a most happy thought the placing of miss smith out of doors and the tree is touched with such inimitable spirit any other situation would have been much less in character the naivete of miss smith s manners and altogether oh it is most admirable i cannot keep my eyes from it i never saw such a likeness,1,72.6,61.64,15.07,8.22,6.85,0,1.37,0,0,6.85,6.85,10.96,10.96,1.37,5.48,2.74,5.48
p00022_A,00022,A,i would ask for the pleasure of your company mr knightley but i am a very slow walker and my pace would be tedious to you and besides you have another long walk before you to donwell abbey,1,78.95,65.79,21.05,18.42,7.89,0,10.53,0,0,2.63,5.26,15.79,13.16,5.26,10.53,0,5.26
p00023_A,00023,A,thank you sir thank you i am going this moment myself and i think the sooner you go the better i will fetch your greatcoat and open the garden door for you,1,84.38,56.25,31.25,28.13,12.5,0,15.63,0,0,3.13,9.38,3.13,6.25,0,6.25,0,0
p00024_A,00024,A,i do not offer it for miss smith s collection being my friend s i have no right to expose it in any degree to the public eye but perhaps you may not dislike looking at it,1,70.27,62.16,18.92,10.81,8.11,0,2.7,0,0,8.11,2.7,13.51,10.81,2.7,2.7,8.11,0
p00025_A,00025,A,take it it is for you take your own,1,88.89,66.67,44.44,22.22,0,0,22.22,0,0,22.22,0,11.11,11.11,0,0,0,0
p00026_A,00026,A,oh no i hope i shall not be ridiculous about it do as you please,1,93.33,73.33,26.67,20,13.33,0,6.67,0,0,6.67,0,13.33,20,6.67,6.67,13.33,0
p00027_A,00027,A,ah papa that is what you never have been able to accomplish and i do not think you ever will isabella cannot bear to stay behind her husband harriet must give us as much of her company as she can while my brother and sister are here i am sure she will be pleased with the children we are very proud of the children are not we papa i wonder which she will think the handsomest henry or john,1,81.01,68.35,21.52,17.72,5.06,3.8,2.53,6.33,0,3.8,3.8,10.13,18.99,5.06,7.59,5.06,1.27
p00028_A,00028,A,i dare say they are sir i am sure i do not know who is not,1,87.5,68.75,31.25,31.25,18.75,0,0,0,6.25,0,0,0,25,0,0,12.5,0
p00029_A,00029,A,well i cannot understand it,1,100,80,40,20,20,0,0,0,0,20,0,0,20,20,0,20,0
p00030_A,00030,A,i have no hesitation in saying i have no hesitation in saying at least if my friend feels at all as i do i have not the smallest doubt that could he see his little effusion honoured as i see it he would consider it as the proudest moment of his life,1,84.62,67.31,25,19.23,11.54,0,0,7.69,0,5.77,3.85,15.38,11.54,0,7.69,5.77,7.69
p00031_A,00031,A,oh dear yes,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p00032_A,00032,A,oh yes sir how you must miss her and dear emma too what a dreadful loss to you both i have been so grieved for you i could not imagine how you could possibly do without her it is a sad change indeed but i hope she is pretty well sir,1,84.31,72.55,23.53,19.61,5.88,0,7.84,5.88,0,3.92,3.92,5.88,15.69,17.65,5.88,1.96,1.96
p00033_A,00033,A,pretty well my dear i hope pretty well i do not know but that the place agrees with her tolerably,1,85,70,25,20,15,0,0,5,0,5,5,5,5,20,5,5,0
p00034_A,00034,A,oh no none in the least i never saw mrs weston better in my life never looking so well papa is only speaking his own regret,1,76.92,57.69,15.38,11.54,7.69,0,0,3.85,0,3.85,3.85,7.69,3.85,19.23,3.85,15.38,7.69
