a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Admiral Croft,Anne Elliot,adverbs,9,9,6,0.6666666666666666,0.6666666666666666,0.0,M,intermediate,F,major
Admiral Croft,Anne Elliot,articles,9,8,5,0.625,0.6666666666666666,-0.04166666666666663,M,intermediate,F,major
Admiral Croft,Anne Elliot,auxiliary_verbs,9,9,7,0.7777777777777778,0.7777777777777778,0.0,M,intermediate,F,major
Admiral Croft,Anne Elliot,conjunctions,9,8,5,0.625,0.6666666666666666,-0.04166666666666663,M,intermediate,F,major
Admiral Croft,Anne Elliot,impersonal_pronouns,9,9,7,0.7777777777777778,0.7777777777777778,0.0,M,intermediate,F,major
Admiral Croft,Anne Elliot,negations,9,9,6,0.6666666666666666,0.6666666666666666,0.0,M,intermediate,F,major
Admiral Croft,Anne Elliot,personal_pronouns,9,9,9,1.0,1.0,0.0,M,intermediate,F,major
Admiral Croft,Anne Elliot,prepositions,9,9,7,0.7777777777777778,0.7777777777777778,0.0,M,intermediate,F,major
Admiral Croft,Anne Elliot,quantifiers,9,9,5,0.5555555555555556,0.5555555555555556,0.0,M,intermediate,F,major
Anne Elliot,Admiral Croft,adverbs,8,5,5,1.0,1.0,0.0,F,major,M,intermediate
Anne Elliot,Admiral Croft,articles,8,5,4,0.8,0.875,-0.07499999999999996,F,major,M,intermediate
Anne Elliot,Admiral Croft,auxiliary_verbs,8,6,6,1.0,1.0,0.0,F,major,M,intermediate
Anne Elliot,Admiral Croft,conjunctions,8,5,5,1.0,0.875,0.125,F,major,M,intermediate
Anne Elliot,Admiral Croft,impersonal_pronouns,8,7,7,1.0,1.0,0.0,F,major,M,intermediate
Anne Elliot,Admiral Croft,negations,8,5,5,1.0,1.0,0.0,F,major,M,intermediate
Anne Elliot,Admiral Croft,personal_pronouns,8,8,8,1.0,1.0,0.0,F,major,M,intermediate
Anne Elliot,Admiral Croft,prepositions,8,6,6,1.0,1.0,0.0,F,major,M,intermediate
Anne Elliot,Admiral Croft,quantifiers,8,4,4,1.0,1.0,0.0,F,major,M,intermediate
Anne Elliot,Captain Harville,adverbs,10,9,9,1.0,0.9,0.09999999999999998,F,major,M,intermediate
Anne Elliot,Captain Harville,articles,10,7,4,0.5714285714285714,0.6,-0.02857142857142858,F,major,M,intermediate
Anne Elliot,Captain Harville,auxiliary_verbs,10,8,7,0.875,0.9,-0.025000000000000022,F,major,M,intermediate
Anne Elliot,Captain Harville,conjunctions,10,8,6,0.75,0.7,0.050000000000000044,F,major,M,intermediate
Anne Elliot,Captain Harville,impersonal_pronouns,10,8,6,0.75,0.8,-0.050000000000000044,F,major,M,intermediate
Anne Elliot,Captain Harville,negations,10,9,7,0.7777777777777778,0.8,-0.022222222222222254,F,major,M,intermediate
Anne Elliot,Captain Harville,personal_pronouns,10,9,8,0.8888888888888888,0.9,-0.011111111111111183,F,major,M,intermediate
Anne Elliot,Captain Harville,prepositions,10,8,6,0.75,0.8,-0.050000000000000044,F,major,M,intermediate
Anne Elliot,Captain Harville,quantifiers,10,6,3,0.5,0.6,-0.09999999999999998,F,major,M,intermediate
Anne Elliot,Captain Wentworth,adverbs,16,9,7,0.7777777777777778,0.6875,0.09027777777777779,F,major,M,major
Anne Elliot,Captain Wentworth,articles,16,9,7,0.7777777777777778,0.8125,-0.03472222222222221,F,major,M,major
Anne Elliot,Captain Wentworth,auxiliary_verbs,16,14,12,0.8571428571428571,0.8125,0.044642857142857095,F,major,M,major
Anne Elliot,Captain Wentworth,conjunctions,16,8,8,1.0,0.8125,0.1875,F,major,M,major
Anne Elliot,Captain Wentworth,impersonal_pronouns,16,5,5,1.0,0.8125,0.1875,F,major,M,major
Anne Elliot,Captain Wentworth,negations,16,8,4,0.5,0.5625,-0.0625,F,major,M,major
Anne Elliot,Captain Wentworth,personal_pronouns,16,15,13,0.8666666666666667,0.8125,0.054166666666666696,F,major,M,major
Anne Elliot,Captain Wentworth,prepositions,16,11,8,0.7272727272727273,0.6875,0.03977272727272729,F,major,M,major
Anne Elliot,Captain Wentworth,quantifiers,16,9,7,0.7777777777777778,0.6875,0.09027777777777779,F,major,M,major
Anne Elliot,Charles Musgrove,adverbs,5,4,3,0.75,0.8,-0.050000000000000044,F,major,M,intermediate
Anne Elliot,Charles Musgrove,articles,5,4,3,0.75,0.8,-0.050000000000000044,F,major,M,intermediate
Anne Elliot,Charles Musgrove,auxiliary_verbs,5,5,5,1.0,1.0,0.0,F,major,M,intermediate
Anne Elliot,Charles Musgrove,conjunctions,5,4,4,1.0,0.8,0.19999999999999996,F,major,M,intermediate
Anne Elliot,Charles Musgrove,impersonal_pronouns,5,5,4,0.8,0.8,0.0,F,major,M,intermediate
