a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Admiral,Captain Wentworth,adverbs,2,2,2,1.0,1.0,0.0,,,M,major
Admiral,Captain Wentworth,articles,2,2,1,0.5,0.5,0.0,,,M,major
Admiral,Captain Wentworth,auxiliary_verbs,2,2,2,1.0,1.0,0.0,,,M,major
Admiral,Captain Wentworth,conjunctions,2,2,1,0.5,0.5,0.0,,,M,major
Admiral,Captain Wentworth,impersonal_pronouns,2,2,1,0.5,0.5,0.0,,,M,major
Admiral,Captain Wentworth,personal_pronouns,2,2,2,1.0,1.0,0.0,,,M,major
Admiral,Captain Wentworth,prepositions,2,2,1,0.5,0.5,0.0,,,M,major
Admiral,Captain Wentworth,quantifiers,2,2,1,0.5,0.5,0.0,,,M,major
Anne Elliot,Charles Musgrove,auxiliary_verbs,2,2,1,0.5,0.5,0.0,F,major,M,intermediate
Anne Elliot,Charles Musgrove,impersonal_pronouns,2,2,1,0.5,0.5,0.0,F,major,M,intermediate
Anne Elliot,Charles Musgrove,prepositions,2,2,1,0.5,0.5,0.0,F,major,M,intermediate
Anne Elliot,Charles Musgrove,quantifiers,2,2,0,0.0,0.0,0.0,F,major,M,intermediate
Anne Elliot,Elizabeth,articles,2,2,1,0.5,0.5,0.0,F,major,F,minor
Anne Elliot,Elizabeth,auxiliary_verbs,2,2,2,1.0,1.0,0.0,F,major,F,minor
Anne Elliot,Elizabeth,personal_pronouns,2,2,2,1.0,1.0,0.0,F,major,F,minor
Anne Elliot,Elizabeth,prepositions,2,2,1,0.5,0.5,0.0,F,major,F,minor
Anne Elliot,Mary Musgrove,adverbs,2,2,2,1.0,1.0,0.0,F,major,F,intermediate
Anne Elliot,Mary Musgrove,auxiliary_verbs,2,2,2,1.0,1.0,0.0,F,major,F,intermediate
Anne Elliot,Mary Musgrove,conjunctions,2,2,2,1.0,1.0,0.0,F,major,F,intermediate
Anne Elliot,Mary Musgrove,impersonal_pronouns,2,2,2,1.0,1.0,0.0,F,major,F,intermediate
Anne Elliot,Mary Musgrove,negations,2,2,1,0.5,0.5,0.0,F,major,F,intermediate
Anne Elliot,Mary Musgrove,personal_pronouns,2,2,2,1.0,1.0,0.0,F,major,F,intermediate
Anne Elliot,Mary Musgrove,prepositions,2,2,2,1.0,1.0,0.0,F,major,F,intermediate
Anne Elliot,Mary Musgrove,quantifiers,2,2,2,1.0,1.0,0.0,F,major,F,intermediate
Anne Elliot,Mr Shepherd,adverbs,2,2,2,1.0,1.0,0.0,F,major,M,minor
Anne Steele,Elinor,adverbs,6,6,5,0.8333333333333334,0.8333333333333334,0.0,F,intermediate,F,major
Anne Steele,Elinor,articles,6,3,1,0.3333333333333333,0.5,-0.16666666666666669,F,intermediate,F,major
Anne Steele,Elinor,auxiliary_verbs,6,6,6,1.0,1.0,0.0,F,intermediate,F,major
Anne Steele,Elinor,conjunctions,6,4,3,0.75,0.8333333333333334,-0.08333333333333337,F,intermediate,F,major
Anne Steele,Elinor,impersonal_pronouns,6,5,3,0.6,0.6666666666666666,-0.06666666666666665,F,intermediate,F,major
Anne Steele,Elinor,negations,6,3,2,0.6666666666666666,0.6666666666666666,0.0,F,intermediate,F,major
Anne Steele,Elinor,personal_pronouns,6,6,6,1.0,1.0,0.0,F,intermediate,F,major
Anne Steele,Elinor,prepositions,6,5,3,0.6,0.6666666666666666,-0.06666666666666665,F,intermediate,F,major
Anne Steele,Elinor,quantifiers,6,2,1,0.5,0.5,0.0,F,intermediate,F,major
Anne Steele,Lucy Steele,adverbs,2,2,1,0.5,0.5,0.0,F,intermediate,F,intermediate
Anne Steele,Lucy Steele,articles,2,2,2,1.0,1.0,0.0,F,intermediate,F,intermediate
Anne Steele,Lucy Steele,auxiliary_verbs,2,2,2,1.0,1.0,0.0,F,intermediate,F,intermediate
Anne Steele,Lucy Steele,impersonal_pronouns,2,2,2,1.0,1.0,0.0,F,intermediate,F,intermediate
Anne Steele,Lucy Steele,quantifiers,2,2,1,0.5,0.5,0.0,F,intermediate,F,intermediate
Captain Wentworth,Admiral,auxiliary_verbs,2,2,2,1.0,1.0,0.0,M,major,,
Captain Wentworth,Admiral,conjunctions,2,2,2,1.0,1.0,0.0,M,major,,
Captain Wentworth,Admiral,negations,2,2,0,0.0,0.0,0.0,M,major,,
Captain Wentworth,Admiral,personal_pronouns,2,2,2,1.0,1.0,0.0,M,major,,
Captain Wentworth,Admiral,prepositions,2,2,2,1.0,1.0,0.0,M,major,,
