a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Admiral Croft,Anne Elliot,9,9,79,-0.009259259259259252,-0.008438818565400836,M,intermediate,F,major
Anne Elliot,Admiral Croft,9,8,51,0.00555555555555556,0.00490196078431373,F,major,M,intermediate
Anne Elliot,Captain Harville,9,10,72,-0.015211640211640232,-0.011111111111111134,F,major,M,intermediate
Anne Elliot,Captain Wentworth,9,16,88,0.06632395382395383,0.05823863636363636,F,major,M,major
Anne Elliot,Charles Musgrove,9,5,40,0.022222222222222206,0.019999999999999983,F,major,M,intermediate
Anne Elliot,Mary,9,12,83,-0.028835978835978833,-0.021084337349397582,F,major,,
Anne Elliot,Mrs Smith,9,32,217,0.04495233934132904,0.037586405529953903,F,major,F,intermediate
Anne Elliot,Sir Walter Elliot,9,8,40,0.0851851851851852,0.07812500000000003,F,major,M,intermediate
Anne Elliot,William Walter Elliot,8,7,46,-0.04107142857142854,-0.02795031055900618,F,major,M,minor
Anne Steele,Elinor,9,9,71,-0.0030864197530864027,-0.0031298904538340994,F,intermediate,F,major
Anne Steele,Lucy Steele,8,7,44,-0.02172619047619046,-0.01623376623376622,F,intermediate,F,intermediate
Captain Harville,Anne Elliot,9,10,70,0.05273368606701935,0.04999999999999993,M,intermediate,F,major
Captain Wentworth,Anne Elliot,9,18,114,0.05699084865751533,0.05750487329434699,M,major,F,major
Captain Wentworth,Louisa Musgrove,6,5,23,0.04166666666666665,0.034782608695652154,M,major,F,minor
Captain Wentworth,Mrs Croft,8,5,36,-0.018750000000000003,-0.01666666666666667,M,major,,
Captain Wentworth,Mrs Musgrove,9,4,33,-0.027777777777777783,-0.02272727272727273,M,major,F,intermediate
Catherine Morland,Eleanor Tilney,9,31,188,0.09410948562243883,0.07206588881262867,F,major,F,intermediate
Catherine Morland,General Tilney,9,6,41,0.016666666666666673,0.024390243902439036,F,major,M,minor
Catherine Morland,Henry Tilney,9,102,617,0.029764620863880493,0.022706327263482394,F,major,M,major
Catherine Morland,Isabella Thorpe,9,52,302,-0.035829954437365794,-0.02114111054508407,F,major,F,major
Catherine Morland,James Morland,9,7,39,-0.11904761904761901,-0.10989010989010986,F,major,M,minor
Catherine Morland,John Thorpe,9,53,269,0.059950683843880276,0.05449954408360804,F,major,M,intermediate
Catherine Morland,Mrs. Allen,9,32,167,-0.03025322495351736,-0.015344311377245517,F,major,F,intermediate
Catherine Morland,Mrs. Morland,3,3,9,0.0,0.0,F,major,F,minor
Charles Musgrove,Anne Elliot,9,4,30,0.06481481481481481,0.058333333333333334,M,intermediate,F,major
Charles Musgrove,Mary,9,3,27,0.0,0.0,M,intermediate,,
Charles Musgrove,Mary Musgrove,9,6,47,-0.0018518518518518576,-0.0035460992907801457,M,intermediate,F,intermediate
Charlotte,Elinor,9,10,78,-0.006790123456790124,-0.007692307692307692,F,intermediate,F,major
Charlotte,Mr. Palmer,9,6,46,-0.03333333333333332,-0.028985507246376795,F,intermediate,M,minor
Charlotte Lucas,Elizabeth,9,13,91,0.03777333777333777,0.03212172442941674,F,intermediate,F,major
Charlotte Lucas,Mrs. Bennet,6,4,22,0.041666666666666664,0.03409090909090909,F,intermediate,F,major
Colonel Brandon,Elinor,9,20,146,0.028226623737459648,0.02191780821917808,M,intermediate,F,major
Colonel Brandon,Mrs. Jennings,9,9,50,0.08024691358024692,0.0777777777777778,M,intermediate,F,intermediate
Colonel Fitzwilliam,Elizabeth,9,15,107,-0.04460416127082795,-0.03613707165109035,M,intermediate,F,major
Edmund,Fanny Price,9,91,703,0.02103627788317766,0.020680599627968033,M,major,F,major
Edmund,Henry Crawford,9,8,55,-0.05330687830687831,-0.03636363636363636,M,major,M,major
Edmund,Lady Bertram,9,11,72,0.02635481802148468,0.02272727272727272,M,major,F,intermediate
Edmund,Maria Bertram,6,6,26,0.055555555555555546,0.044871794871794865,M,major,F,intermediate
Edmund,Mary Crawford,9,46,329,0.01429437444918079,0.011431214483943464,M,major,F,major
Edmund,Mrs. Norris,6,6,24,-0.02777777777777779,-0.020833333333333343,M,major,F,intermediate
Edmund,Tom Bertram,9,8,53,0.07936507936507936,0.06603773584905659,M,major,M,intermediate
Edward Ferrars,Elinor,9,15,98,0.06629666629666629,0.05510204081632652,M,intermediate,F,major
