a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Admiral,Captain Wentworth,8,2,16,0.0,0.0,,,M,major
Anne Elliot,Charles Musgrove,4,2,8,0.0,0.0,F,major,M,intermediate
Anne Elliot,Elizabeth,4,2,8,0.0,0.0,F,major,F,minor
Anne Elliot,Mary Musgrove,8,2,16,0.0,0.0,F,major,F,intermediate
Anne Elliot,Mr Shepherd,1,2,2,0.0,0.0,F,major,M,minor
Anne Steele,Elinor,9,6,40,-0.0425925925925926,-0.0375,F,intermediate,F,major
Anne Steele,Lucy Steele,5,2,10,0.0,0.0,F,intermediate,F,intermediate
Captain Wentworth,Admiral,6,2,12,0.0,0.0,M,major,,
Captain Wentworth,Anne Elliot,8,4,25,0.07291666666666666,0.05999999999999999,M,major,F,major
Captain Wentworth,Charles Musgrove,2,2,4,0.0,0.0,M,major,M,intermediate
Captain Wentworth,Mary Musgrove,2,2,4,0.0,0.0,M,major,F,intermediate
Catherine Morland,Eleanor Tilney,9,7,39,-0.06296296296296294,-0.04395604395604393,F,major,F,intermediate
Catherine Morland,Henry Tilney,9,8,57,-0.008333333333333328,-0.01096491228070175,F,major,M,major
Catherine Morland,Isabella Thorpe,6,5,19,0.08333333333333333,0.05263157894736842,F,major,F,major
Catherine Morland,John Thorpe,9,6,35,-0.04629629629629631,-0.03333333333333334,F,major,M,intermediate
Catherine Morland,Mrs. Allen,7,3,14,0.11904761904761907,0.11904761904761907,F,major,F,intermediate
Catherine Morland,Mrs. Morland,1,2,2,0.0,0.0,F,major,F,minor
Catherine Morland,Mrs. Thorpe,3,2,6,0.0,0.0,F,major,F,minor
Charles Musgrove,Anne Elliot,9,4,36,0.0,0.0,M,intermediate,F,major
Charles Musgrove,Captain Wentworth,3,2,6,0.0,0.0,M,intermediate,M,major
Charles Musgrove,Lady Russell,6,2,12,0.0,0.0,M,intermediate,F,minor
Charles Musgrove,Mary Musgrove,1,2,2,0.0,0.0,M,intermediate,F,intermediate
Charlotte,Elinor,6,2,12,0.0,0.0,F,intermediate,F,major
Charlotte Lucas,Elizabeth,8,4,20,0.0,0.0,F,intermediate,F,major
Colonel Brandon,Elinor,9,3,23,0.05555555555555555,0.043478260869565216,M,intermediate,F,major
Colonel Brandon,Mrs. Jennings,5,2,10,0.0,0.0,M,intermediate,F,intermediate
Colonel Fitzwilliam,Elizabeth,6,2,12,0.0,0.0,M,intermediate,F,major
Colonel Fitzwilliam,Mr. Darcy,3,2,6,0.0,0.0,M,intermediate,M,major
Edmund,Fanny Price,9,10,72,-0.04444444444444445,-0.04027777777777778,M,major,F,major
Edmund,Henry Crawford,7,3,21,0.0,0.0,M,major,M,major
Edmund,Lady Bertram,9,4,30,-0.02777777777777779,-0.025000000000000012,M,major,F,intermediate
Edmund,Maria Bertram,7,3,19,-0.023809523809523805,-0.017543859649122803,M,major,F,intermediate
Edmund,Mary Crawford,9,5,43,-0.01111111111111112,-0.009302325581395357,M,major,F,major
Edmund,Mrs. Norris,6,4,16,0.0,0.0,M,major,F,intermediate
Edmund,Tom Bertram,9,4,26,-6.1679056923619804e-18,-6.4051328343759035e-18,M,major,M,intermediate
Edward Ferrars,Elinor,9,7,55,0.01587301587301588,0.012987012987012991,M,intermediate,F,major
Edward Ferrars,Marianne,6,2,12,0.0,0.0,M,intermediate,F,major
Eleanor Tilney,Catherine Morland,9,5,39,0.03703703703703703,0.030769230769230764,F,intermediate,F,major
Eleanor Tilney,Henry Tilney,9,5,36,0.018518518518518514,0.016666666666666663,F,intermediate,M,major
Elinor,Edward Ferrars,9,6,39,-0.011111111111111134,-1.708035422500241e-17,F,major,M,intermediate
Elinor,Lucy Steele,9,5,36,-0.033333333333333354,-0.027777777777777804,F,major,F,intermediate
Elinor,Marianne,9,11,69,-0.020783229116562447,-0.019762845849802372,F,major,F,major
Elinor,Mrs. Dashwood,9,10,72,0.008245149911816586,-0.005555555555555548,F,major,F,intermediate
Elinor,Mrs. Jennings,3,3,6,0.0,0.0,F,major,F,intermediate
Elizabeth,Anne Elliot,9,2,18,0.0,0.0,F,minor,F,major
Elizabeth,Colonel Fitzwilliam,7,2,14,0.0,0.0,F,major,M,intermediate
Elizabeth,Jane,9,7,34,0.03835978835978837,0.016806722689075643,F,major,F,intermediate
