family,gender,mean_conv
adverbs,F,0.012206153615121916
adverbs,M,0.0031016563368792683
articles,F,0.010970705497272639
articles,M,0.028157244490882385
auxiliary_verbs,F,0.0010497892412531496
auxiliary_verbs,M,0.005142237620842087
conjunctions,F,0.007658883894441391
conjunctions,M,0.015645458882692014
impersonal_pronouns,F,0.016771229380153036
impersonal_pronouns,M,0.032851107791090364
negations,F,0.023199664459377045
negations,M,-0.009593920151937052
personal_pronouns,F,0.005149950573326283
personal_pronouns,M,0.001084922138369797
prepositions,F,0.0024212030211226117
prepositions,M,0.0039362914049721545
quantifiers,F,0.012451601277226537
quantifiers,M,0.004065551740047602
