family,gender,mean_conv
adverbs,F,0.0016131472013824935
adverbs,M,-0.0001786154225178647
articles,F,-0.03209610157284575
articles,M,-0.0017954267954267944
auxiliary_verbs,F,-0.0020860781730346945
auxiliary_verbs,M,-0.0037436358191075187
conjunctions,F,-0.020656152024076554
conjunctions,M,-0.013091882277928788
impersonal_pronouns,F,0.005928944244161627
impersonal_pronouns,M,-0.006689213564213573
negations,F,-0.015814199350784715
negations,M,0.001980118646785309
personal_pronouns,F,-0.002283549783549783
personal_pronouns,M,-0.0018162393162393182
prepositions,F,-0.008147721454173073
prepositions,M,-0.003451423859587127
quantifiers,F,-0.005790773553931451
quantifiers,M,0.011224489795918367
