family,gender,mean_conv
adverbs,F,0.0023697636520354547
adverbs,M,0.0008671145241108773
articles,F,-0.0031709928965894764
articles,M,0.0006303317394955754
auxiliary_verbs,F,0.001334119358468184
auxiliary_verbs,M,-0.00265430288856825
conjunctions,F,0.0038874671017409246
conjunctions,M,-0.0021791778157884832
impersonal_pronouns,F,2.2562512088010585e-05
impersonal_pronouns,M,0.0007568761698284283
negations,F,0.025588771849323424
negations,M,0.0015439950507789523
personal_pronouns,F,0.001504198670921869
personal_pronouns,M,0.0002862242739012669
prepositions,F,0.0014338478469111942
prepositions,M,5.114031130095392e-05
quantifiers,F,0.004004427366239275
quantifiers,M,-0.01077177803269709
