family,gender,mean_conv
adverbs,F,0.008826821326821329
adverbs,M,-0.009375000000000003
articles,F,-0.006126131493778548
articles,M,-0.018293650793650792
auxiliary_verbs,F,-0.0008564213564213574
auxiliary_verbs,M,-0.002415458937198069
conjunctions,F,-0.0034840512594749846
conjunctions,M,0.005829725829725825
impersonal_pronouns,F,0.025135155248791615
impersonal_pronouns,M,-0.014354395604395609
negations,F,0.004481993875933272
negations,M,-0.02193452380952381
personal_pronouns,F,0.0005296015712682379
personal_pronouns,M,-0.0023003472222222227
prepositions,F,-0.0033851744962856084
prepositions,M,0.004910714285714285
quantifiers,F,0.017582247684288503
quantifiers,M,-0.021199294532627866
