family,gender,mean_conv
adverbs,F,-0.0022187900455572355
adverbs,M,0.010028404942367845
articles,F,-0.0023607964317144503
articles,M,-0.0015101302011835728
auxiliary_verbs,F,0.0004645270112501322
auxiliary_verbs,M,-0.0014996555204857597
conjunctions,F,0.003328959817482983
conjunctions,M,-0.00021369405240303374
impersonal_pronouns,F,-0.006030646150702018
impersonal_pronouns,M,0.010388199088539319
negations,F,0.007221686017416611
negations,M,0.02983269439926375
personal_pronouns,F,0.0018040489959118549
personal_pronouns,M,-0.00028561405955611276
prepositions,F,0.002361977712629896
prepositions,M,-0.001011135193323581
quantifiers,F,-0.004739019996708511
quantifiers,M,-0.0010406816422335707
