family,importance,mean_conv
adverbs,intermediate,0.010166131339082684
adverbs,major,0.011864466320797282
adverbs,minor,0.006625258799171846
articles,intermediate,0.01684083115514092
articles,major,0.02127304844226071
articles,minor,0.02430287430287431
auxiliary_verbs,intermediate,0.0029691543018980763
auxiliary_verbs,major,0.0031612367900666944
auxiliary_verbs,minor,0.0039215686274509795
conjunctions,intermediate,0.015093106415125197
conjunctions,major,0.013095022087656274
conjunctions,minor,0.017132034632034634
impersonal_pronouns,intermediate,0.02212640792670026
impersonal_pronouns,major,0.017068339498897266
impersonal_pronouns,minor,0.037531328320802006
negations,intermediate,0.015521596350913294
negations,major,0.029643054005708422
negations,minor,0.05870748299319727
personal_pronouns,intermediate,7.463165356297027e-06
personal_pronouns,major,0.00362682452639709
personal_pronouns,minor,0.005648926237161532
prepositions,intermediate,-0.0016420428831258659
prepositions,major,0.009407039198096588
prepositions,minor,0.025481256332320165
quantifiers,intermediate,0.020662488319084852
quantifiers,major,0.010048845418879461
quantifiers,minor,0.054013605442176885
