family,importance,mean_conv
adverbs,intermediate,0.00738770685579196
adverbs,major,-0.0024560065257739697
adverbs,minor,-0.08333333333333334
articles,intermediate,-0.0017192834266004943
articles,major,-0.03657491813741813
articles,minor,0.08333333333333331
auxiliary_verbs,intermediate,-0.0017419962335216567
auxiliary_verbs,major,-0.002693810021396229
auxiliary_verbs,minor,-0.016666666666666673
conjunctions,intermediate,-0.01992339811488748
conjunctions,major,-0.013574339372211712
conjunctions,minor,-0.041666666666666685
impersonal_pronouns,intermediate,0.003593241383939051
impersonal_pronouns,major,-0.001571741750313188
impersonal_pronouns,minor,-0.08333333333333337
negations,intermediate,0.009151959151959155
negations,major,-0.02524390024390025
negations,minor,0.0
personal_pronouns,intermediate,-0.002038861521620143
personal_pronouns,major,-0.0022673160173160177
personal_pronouns,minor,0.0
prepositions,intermediate,-0.011999805749805751
prepositions,major,0.003698359253914806
prepositions,minor,-0.05000000000000001
quantifiers,intermediate,-0.0021937521937521907
quantifiers,major,0.005018918989507219
quantifiers,minor,0.04166666666666666
