family,importance,mean_conv
adverbs,intermediate,0.012757128831223267
adverbs,major,-0.007213155913846388
adverbs,minor,-0.008465608465608464
articles,intermediate,-0.004012817458526237
articles,major,7.80430616257285e-05
articles,minor,0.011375661375661376
auxiliary_verbs,intermediate,-0.0014052680460465066
auxiliary_verbs,major,-0.0005471384906535091
auxiliary_verbs,minor,0.0
conjunctions,intermediate,7.560972346850773e-05
conjunctions,major,0.00720357964444702
conjunctions,minor,-0.025255411255411257
impersonal_pronouns,intermediate,0.00429754782409839
impersonal_pronouns,major,-0.015271085984341019
impersonal_pronouns,minor,0.011714285714285715
negations,intermediate,-0.0048075168848996175
negations,major,0.019301786174655684
negations,minor,-0.05376984126984127
personal_pronouns,intermediate,0.001164385805314966
personal_pronouns,major,-0.003047226027950192
personal_pronouns,minor,0.006022408963585434
prepositions,intermediate,-0.0012067963969352882
prepositions,major,-0.011338163634986723
prepositions,minor,0.005476190476190477
quantifiers,intermediate,-0.009130775852468307
quantifiers,major,0.004490717031918332
quantifiers,minor,-0.01952380952380952
