family,importance,mean_conv
adverbs,intermediate,0.006179971988795518
adverbs,major,0.00024254127514996993
adverbs,minor,0.020833333333333336
articles,intermediate,-0.029817708333333335
articles,major,0.002435165236370063
articles,minor,0.03333333333333334
auxiliary_verbs,intermediate,-0.0023297491039426534
auxiliary_verbs,major,-0.0006943646324177306
auxiliary_verbs,minor,0.0
conjunctions,intermediate,-0.008821733821733825
conjunctions,major,0.0029694244581885067
conjunctions,minor,0.05555555555555556
impersonal_pronouns,intermediate,-0.0007265817124972068
impersonal_pronouns,major,0.023793400086503533
impersonal_pronouns,minor,0.0
negations,intermediate,-0.0007518796992481206
negations,major,-0.007239910161988081
negations,minor,0.03333333333333334
personal_pronouns,intermediate,-0.001515151515151516
personal_pronouns,major,0.0005670339761248856
personal_pronouns,minor,0.0
prepositions,intermediate,-0.0007290513104466605
prepositions,major,-0.0007548531133436807
prepositions,minor,7.93016446160826e-18
quantifiers,intermediate,-0.0011562671045429634
quantifiers,major,0.01045194388944389
quantifiers,minor,0.0
