a_category,b_category,mean_weight,count
intermediate,intermediate,0.005967738362546514,75
intermediate,major,0.011052751374299665,93
intermediate,minor,0.0072396550965437845,22
intermediate,none,-0.013392857142857146,2
major,intermediate,0.013304142370076199,87
major,major,0.009470659998265444,31
major,minor,0.008607530737580965,20
major,none,-0.012291270344536037,3
minor,intermediate,0.01670670850433207,22
minor,major,0.018668170044104145,27
minor,minor,0.0018518518518518526,6
none,intermediate,0.02465686274509804,2
none,major,0.013080308030803074,3
none,none,0.0,1
