character,community_id
Mrs. Gardiner,0
Mr. Darcy,0
Mrs Clay,0
Colonel Fitzwilliam,0
Charlotte Lucas,0
Mr. Bingley,0
Lydia,0
Elizabeth,0
Mr. Gardiner,0
Mr. Bennet,0
Mrs. Reynolds,0
Sir William Lucas,0
Miss Bingley,0
Maria,0
Kitty,0
Mrs. Hurst,0
Lady Catherine De Bourgh,0
Mrs. Bennet,0
Jane,0
Mr. Collins,0
George Wickham,0
Mr. Willoughby,1
Charlotte,1
Fanny,1
Colonel Brandon,1
Lady Middleton,1
John Middleton,1
Lucy Steele,1
John Dashwood,1
Mrs. Jennings,1
Thomas,1
Mr. Palmer,1
Margaret,1
Elinor,1
Marianne,1
Edward Ferrars,1
Anne Steele,1
Mrs. Dashwood,1
Julia Bertram,2
Edmund,2
Mr. Rushworth,2
Mary Crawford,2
Tom Bertram,2
Maria Bertram,2
Fanny Price,2
Sir Thomas,2
Mrs. Rushworth,2
Mrs. Grant,2
Lady Bertram,2
Mr. Yates,2
Mr. Price,2
Henry Crawford,2
_unknowable,2
William Price,2
Mrs. Norris,2
Mrs Smith,3
Louisa Musgrove,3
Anne Elliot,3
Captain Wentworth,3
William Walter Elliot,3
Lady Russell,3
Mr Shepherd,3
Admiral Croft,3
Mary,3
Sir Walter Elliot,3
Mrs Musgrove,3
Mary Musgrove,3
Charles Musgrove,3
Captain Harville,3
Mrs Croft,3
Mr. John Knightley,4
Harriet Smith,4
Miss Bates,4
Jane Fairfax,4
Mr. Frank Churchill,4
Isabella,4
Mrs. Weston,4
Mr. Weston,4
Emma,4
Mr. Woodhouse,4
Mrs. Elton,4
Mr. Elton,4
Mr. Knightley,4
General Tilney,5
James Morland,5
Isabella Thorpe,5
Catherine Morland,5
Mr. Allen,5
John Thorpe,5
Frederick Tilney,5
Eleanor Tilney,5
Henry Tilney,5
Mrs. Morland,5
Mrs. Allen,5
Mrs. Thorpe,5
