character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Elizabeth,21,21,0.4869372140736501,0.5045119389378656,0.09824144179123795,0.10143661424966026,F,major
Marianne,8,9,0.3778279178704547,0.3341104465357831,0.003678897301494855,0.008639099204038051,F,major
Catherine Morland,9,10,0.31988023025569134,0.2765629386041907,0.008736167734420501,0.00902737332556785,F,major
Fanny Price,11,12,0.3142804684327422,0.3877643841020739,0.0057941823594124114,0.012715977480100952,F,major
Jane Fairfax,5,5,0.2578646110225056,0.1611777921704814,0.00033569533423930627,0.0038827412152980002,F,intermediate
Anne Elliot,11,13,0.2523568067101018,0.5279178272176916,0.07139390409629198,0.08794408852649971,F,major
Edmund,10,10,0.25132844450346303,0.1243052794569553,0.0024906167087296958,0.005338769171034751,M,major
Mrs. Bennet,8,9,0.20876416421289287,0.3387436924529387,0.0037290493755257883,0.015530964861192001,F,major
John Middleton,7,5,0.19655538335316064,0.09004329004329001,0.002423477641881835,0.006891865657153951,M,intermediate
Mr. Knightley,5,7,0.1889909719970764,0.1667101764145978,0.0004807203409416572,0.00145602795573675,M,major
Henry Crawford,8,9,0.1886191478165814,0.1600043450842866,0.0014002135507668416,0.004076878276062901,M,major
Captain Wentworth,6,6,0.1856767921196231,0.1476403457653456,0.021128583446579953,0.02747039409823335,M,major
Emma,12,11,0.1807443119912228,0.17500683854749283,0.005364885228018601,0.006600660066006601,F,major
General Tilney,2,1,0.1796825396825395,0.024390243902439,0.0,0.0,M,minor
Mrs. Allen,3,4,0.165547333369382,0.18989468325013253,0.00019413706076490002,0.0031061929722384003,F,intermediate
Sir Walter Elliot,4,4,0.1649270269959925,0.1059027777777777,0.0035268232705623504,0.038342069501067756,M,intermediate
Elinor,12,13,0.1643473315010916,0.18170157026802392,0.010658124635993011,0.01213356629780625,F,major
Tom Bertram,7,8,0.1539143463027843,0.2603878680045209,0.0032437067236135374,0.0083478936128907,M,intermediate
Mr. John Knightley,6,4,0.1529974123059228,0.0197857697857697,0.0006676928197021382,0.0,M,intermediate
Mr. Bennet,5,5,0.14172850912486704,0.0618902888299439,0.005201255419659613,0.0062123859444768005,M,intermediate
Lady Russell,2,1,0.13761904761904759,0.0603448275862069,0.0,0.0067947971267715,F,minor
Mr. Frank Churchill,6,6,0.1367101365529493,0.22827527610603618,0.00042479037819748356,0.00223257619879635,M,major
Henry Tilney,3,3,0.136651682346133,0.1102929932732669,9.706853038245001e-05,0.0013589594253543,M,major
Mr. Allen,2,2,0.1288888888888888,0.0579710144927536,0.0,0.0025237817899437004,M,minor
Mr. Bingley,4,4,0.1263319081416094,0.1575311942959,0.00043680838672102506,0.029605901766647253,M,intermediate
Mr Shepherd,2,2,0.1258169934640522,0.0172413793103448,0.0,0.0,M,minor
Sir Thomas,7,5,0.12517637129179848,0.08130236723587089,0.0007894907137772601,0.0,M,intermediate
Mary Musgrove,4,3,0.12473876698014619,0.0511651469098277,0.007425742574257425,0.007280139778683751,F,intermediate
Mrs. Dashwood,6,6,0.12463322712698591,0.1689728747670937,0.00326797385620915,0.0052417006406523005,F,intermediate
Mrs. Weston,5,5,0.12097737823848781,0.032615398760806505,0.0002863521646282275,0.0011648223645894002,F,intermediate
Mrs. Norris,7,8,0.1139097711987735,0.08738812817617139,0.004962628615802757,0.00553290623179965,F,intermediate
Edward Ferrars,3,3,0.1080771358966847,0.0927376385336741,0.0,0.0026208503203261502,M,intermediate
Lucy Steele,3,3,0.10392561004501291,0.046790890269151,6.47123535883e-05,0.0020384391380314504,F,intermediate
Mrs. Jennings,8,9,0.10311983966681842,0.3783139565748259,0.004824305960007766,0.006891865657153951,F,intermediate
Frederick Tilney,1,1,0.1025641025641025,0.0158730158730158,0.0,0.0,F,minor
Mr. Yates,1,1,0.1014492753623188,0.0147058823529411,0.0,0.0,M,minor
Colonel Brandon,3,3,0.0996955859969558,0.02560709323099301,0.0,0.0,M,intermediate
Mr. Elton,4,4,0.0946532999164577,0.0527631578947368,0.00021204851577594732,0.00067947971267715,M,intermediate
Lady Catherine De Bourgh,2,2,0.0937816152101866,0.0811928811928811,0.0,0.0,F,intermediate
Lady Bertram,6,5,0.091110640567162,0.19277116040361542,0.00025318708341422376,0.00844496214327315,F,intermediate
