pair,adverbs,articles,auxiliary_verbs,conjunctions,impersonal_pronouns,negations,personal_pronouns,prepositions,quantifiers
Anne Elliot→Mrs Smith,0.0303030303030302,0.0959595959595959,-0.0009469696969697,0.0012121212121212,0.1471861471861472,0.1428571428571429,-0.0009469696969697,0.0135841170323928,0.0424242424242424
Catherine Morland→John Thorpe,0.063063063063063,0.0277777777777777,-0.000805152979066,0.1253561253561252,0.1223832528180354,0.1203703703703703,0.0676328502415459,-0.0041816009557945,0.0518518518518518
Captain Wentworth→Anne Elliot,0.0555555555555554,0.1025641025641026,0.1111111111111111,0.1388888888888889,0.0833333333333333,-0.0101010101010101,-0.0138888888888888,0.0555555555555555,-0.0101010101010101
Catherine Morland→Eleanor Tilney,-0.0108695652173913,0.1789772727272727,-0.0360576923076922,0.0798611111111111,0.1527777777777778,0.1624999999999999,-0.0104166666666666,0.0366379310344827,0.2235576923076923
Catherine Morland→Henry Tilney,-0.0028686173264486,-0.0028792912513843,-0.0031007751937984,0.0365546218487394,0.0586080586080586,0.0672619047619047,0.0027950310559006,0.0003616636528028,0.1018826135105204
Catherine Morland→Isabella Thorpe,0.0242914979757083,-0.1840659340659339,-0.0011773940345368,-0.0762599469496021,-0.0589330024813896,0.0297202797202797,-0.0003770739064856,-0.0283400809716599,-0.027327935222672
Edmund→Mary Crawford,-0.0189764232317423,-0.00747556066705,0.0,0.006079027355623,0.0883301096067054,0.1041819515774027,-0.003958436417615,0.0,-0.0205673758865247
Edmund→Fanny Price,0.0440860215053763,0.0597849462365591,0.004470218678265,-0.0121777432309885,0.0178779634667703,0.0033491979552265,-0.0015194015895277,0.031874039938556,0.0224828934506354
Colonel Brandon→Elinor,-0.0029411764705882,0.1863636363636363,0.0,0.0705882352941176,0.0785714285714286,-0.0653846153846153,0.0,-0.0131578947368421,0.0
Elinor→Marianne,-0.0193452380952381,0.0477678571428571,-0.0115131578947368,0.0104166666666666,0.015625,0.0075757575757575,0.0075431034482759,0.0420454545454545,0.0740131578947368
Elinor→Lucy Steele,-0.0103896103896103,0.0410714285714285,0.0285714285714285,0.0519480519480519,0.0499999999999999,-0.006015037593985,0.0268398268398268,0.0186813186813187,0.0619047619047619
Eleanor Tilney→Catherine Morland,0.0445344129554655,-0.0745614035087719,0.0279605263157894,0.0210526315789473,-0.037280701754386,0.195906432748538,-0.0159489633173843,-0.0018796992481202,0.1345029239766082
Emma→Mrs. Elton,0.0,0.0,0.0,-0.0109890109890109,0.0,0.1428571428571429,0.0,0.0,-0.057142857142857
Fanny Price→Edmund,0.0038461538461538,0.0848351648351648,0.0049950049950049,0.0146520146520147,0.0705128205128204,0.0186813186813186,-0.0018315018315018,-0.006529702181876,-0.0179576521039935
