a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Jane Fairfax,Mr. Frank Churchill,8,3,18,0.2083333333333333,0.1851851851851852,F,intermediate,M,major
Marianne,Mrs. Jennings,2,3,4,0.1666666666666666,0.1666666666666666,F,major,F,intermediate
General Tilney,Eleanor Tilney,7,5,20,0.1714285714285714,0.1399999999999999,M,minor,F,intermediate
Sir Walter Elliot,Elizabeth,6,3,13,0.1388888888888889,0.1282051282051282,M,intermediate,F,minor
Henry Tilney,Mrs. Allen,8,6,29,0.1791666666666666,0.1149425287356321,M,major,F,intermediate
Marianne,Margaret,7,3,15,0.119047619047619,0.1111111111111111,F,major,F,minor
Frederick Tilney,Isabella Thorpe,6,3,13,0.1111111111111111,0.1025641025641025,F,minor,F,major
Mr. Yates,Tom Bertram,9,3,23,0.1296296296296296,0.1014492753623188,M,minor,M,intermediate
Mr Shepherd,Anne Elliot,7,3,17,0.119047619047619,0.0980392156862745,M,minor,F,major
Lady Russell,Anne Elliot,9,4,25,0.1203703703703703,0.09,F,minor,F,major
Captain Wentworth,Louisa Musgrove,9,5,29,0.1277777777777777,0.089655172413793,M,major,F,minor
Mr. Allen,Catherine Morland,6,3,15,0.1111111111111111,0.0888888888888888,M,minor,F,major
Edmund,Maria Bertram,9,6,32,0.1296296296296296,0.0885416666666666,M,major,F,intermediate
Fanny Price,Lady Bertram,5,5,19,0.0933333333333333,0.0842105263157894,F,major,F,intermediate
Margaret,Marianne,5,3,12,0.1,0.0833333333333333,F,minor,F,major
Elizabeth,Mr. Bingley,9,6,36,0.1277777777777778,0.0833333333333333,F,major,M,intermediate
Mr. Bennet,Kitty,5,3,12,0.1,0.0833333333333333,M,intermediate,F,minor
Henry Crawford,Tom Bertram,9,5,38,0.1018518518518518,0.0789473684210526,M,major,M,intermediate
Anne Elliot,Sir Walter Elliot,9,8,40,0.0851851851851852,0.078125,F,major,M,intermediate
Colonel Brandon,Mrs. Jennings,9,9,50,0.0802469135802469,0.0777777777777778,M,intermediate,F,intermediate
