uid,pair_id,side,text
p00000_A,00000,A,poor miss taylor i wish she were here again what a pity it is that mr weston ever thought of her
p00001_A,00001,A,i cannot agree with you papa you know i cannot mr weston is such a good humoured pleasant excellent man that he thoroughly deserves a good wife and you would not have had miss taylor live with us for ever and bear all my odd humours when she might have a house of her own
p00002_A,00002,A,a house of her own but where is the advantage of a house of her own this is three times as large and you have never any odd humours my dear
p00003_A,00003,A,how often we shall be going to see them and they coming to see us we shall be always meeting we must begin we must go and pay wedding visit very soon
p00004_A,00004,A,my dear how am i to get so far randalls is such a distance i could not walk half so far
p00005_A,00005,A,no papa nobody thought of your walking we must go in the carriage to be sure
p00006_A,00006,A,the carriage but james will not like to put the horses to for such a little way and where are the poor horses to be while we are paying our visit
p00007_A,00007,A,they are to be put into mr weston s stable papa you know we have settled all that already we talked it all over with mr weston last night and as for james you may be very sure he will always like going to randalls because of his daughter s being housemaid there i only doubt whether he will ever take us anywhere else that was your doing papa you got hannah that good place nobody thought of hannah till you mentioned her james is so obliged to you
p00008_A,00008,A,it is very kind of you mr knightley to come out at this late hour to call upon us i am afraid you must have had a shocking walk
p00009_A,00009,A,not at all sir it is a beautiful moonlight night and so mild that i must draw back from your great fire
p00010_A,00010,A,but you must have found it very damp and dirty i wish you may not catch cold
p00011_A,00011,A,dirty sir look at my shoes not a speck on them
p00012_A,00012,A,well that is quite surprising for we have had a vast deal of rain here it rained dreadfully hard for half an hour while we were at breakfast i wanted them to put off the wedding
p00013_A,00013,A,by the bye i have not wished you joy being pretty well aware of what sort of joy you must both be feeling i have been in no hurry with my congratulations but i hope it all went off tolerably well how did you all behave who cried most
p00014_A,00014,A,ah poor miss taylor tis a sad business
p00015_A,00015,A,poor mr and miss woodhouse if you please but i cannot possibly say i have a great regard for you and emma but when it comes to the question of dependence or independence at any rate it must be better to have only one to please than two
p00016_A,00016,A,especially when one of those two is such a fanciful troublesome creature that is what you have in your head i know and what you would certainly say if my father were not by
p00017_A,00017,A,i believe it is very true my dear indeed i am afraid i am sometimes very fanciful and troublesome
p00018_A,00018,A,my dearest papa you do not think i could mean you or suppose mr knightley to mean you what a horrible idea oh no i meant only myself mr knightley loves to find fault with me you know in a joke it is all a joke we always say what we like to one another
p00019_A,00019,A,emma knows i never flatter her but i meant no reflection on any body miss taylor has been used to have two persons to please she will now have but one the chances are that she must be a gainer
p00020_A,00020,A,well you want to hear about the wedding and i shall be happy to tell you for we all behaved charmingly every body was punctual every body in their best looks not a tear and hardly a long face to be seen oh no we all felt that we were going to be only half a mile apart and were sure of meeting every day
p00021_A,00021,A,dear emma bears every thing so well but mr knightley she is really very sorry to lose poor miss taylor and i am sure she will miss her more than she thinks for
p00022_A,00022,A,it is impossible that emma should not miss such a companion we should not like her so well as we do sir if we could suppose it but she knows how much the marriage is to miss taylor s advantage she knows how very acceptable it must be at miss taylor s time of life to be settled in a home of her own and how important to her to be secure of a comfortable provision and therefore cannot allow herself to feel so much pain as pleasure every friend of miss taylor must be glad to have her so happily married
p00023_A,00023,A,and you have forgotten one matter of joy to me and a very considerable one that i made the match myself i made the match you know four years ago and to have it take place and be proved in the right when so many people said mr weston would never marry again may comfort me for any thing
p00024_A,00024,A,ah my dear i wish you would not make matches and foretell things for whatever you say always comes to pass pray do not make any more matches
