a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Emma,Harriet Smith,9,88,640,-0.0011016926911872245,-0.001100852272727288,F,major,F,major
Emma,Isabella,5,3,15,0.0,0.0,F,major,F,intermediate
Emma,Jane Fairfax,9,8,60,-0.018650793650793657,-0.01458333333333334,F,major,F,intermediate
Emma,Miss Bates,9,21,115,-0.03420051024540186,-0.027329192546583836,F,major,F,intermediate
Emma,Mr. Elton,9,16,133,0.007778795278795288,0.007048872180451137,F,major,M,intermediate
Emma,Mr. Frank Churchill,9,72,461,0.021132289213188365,0.0170523017594601,F,major,M,major
Emma,Mr. John Knightley,9,10,62,-0.010890652557319247,-0.019354838709677444,F,major,M,intermediate
Emma,Mr. Knightley,9,110,729,0.021835895682320756,0.016635490709564774,F,major,M,major
Emma,Mr. Weston,9,12,69,-0.007054673721340388,-0.010869565217391318,F,major,M,intermediate
Emma,Mr. Woodhouse,9,32,230,-5.656581743536856e-05,-0.0004076086956521594,F,major,M,intermediate
Emma,Mrs. Elton,9,14,109,0.008302808302808322,0.006553079947575378,F,major,F,intermediate
Emma,Mrs. Weston,9,39,287,-0.010814666874356331,-0.008308764406325385,F,major,F,intermediate
Harriet Smith,Emma,9,97,651,0.0017681471328064734,0.0006334426021822144,F,major,F,major
Isabella,Mr. John Knightley,9,4,36,0.0,0.0,F,intermediate,M,intermediate
Isabella,Mr. Woodhouse,9,16,121,0.03879222629222628,0.030991735537190073,F,intermediate,M,intermediate
Jane Fairfax,Emma,9,9,69,0.012874779541446212,0.01127214170692432,F,intermediate,F,major
Jane Fairfax,Miss Bates,7,7,34,0.037755102040816335,0.021008403361344546,F,intermediate,F,intermediate
Jane Fairfax,Mr. Frank Churchill,2,3,6,0.0,0.0,F,intermediate,M,major
Jane Fairfax,Mr. John Knightley,9,7,52,0.010317460317460355,0.008241758241758278,F,intermediate,M,intermediate
Jane Fairfax,Mrs. Elton,9,13,99,0.024490632823966144,0.020979020979020963,F,intermediate,F,intermediate
Miss Bates,Emma,9,22,172,0.016221741221741234,0.014799154334038068,F,intermediate,F,major
Miss Bates,Jane Fairfax,9,5,39,0.022222222222222213,0.015384615384615375,F,intermediate,F,intermediate
Miss Bates,Mr. Knightley,9,14,101,0.04915639915639916,0.03960396039603961,F,intermediate,M,major
Miss Bates,Mrs. Elton,8,3,24,0.0,0.0,F,intermediate,F,intermediate
Mr. Elton,Emma,9,19,126,0.03738191632928477,0.027986633249791164,M,intermediate,F,major
Mr. Elton,Mr. John Knightley,9,4,36,0.0,0.0,M,intermediate,M,intermediate
Mr. Elton,Mrs. Elton,8,4,28,0.08333333333333331,0.07142857142857142,M,intermediate,F,intermediate
Mr. Frank Churchill,Emma,9,76,542,-0.008224947833766396,-0.007986987764614513,M,major,F,major
Mr. Frank Churchill,Jane Fairfax,9,5,36,-0.1037037037037037,-0.09444444444444444,M,major,F,intermediate
Mr. Frank Churchill,Mr. Weston,9,7,53,-0.0013227513227512995,-0.0026954177897573883,M,major,M,intermediate
Mr. Frank Churchill,Mr. Woodhouse,9,5,38,-0.014814814814814824,-0.010526315789473691,M,major,M,intermediate
Mr. Frank Churchill,Mrs. Weston,8,7,38,-0.026190476190476195,-0.018796992481203017,M,major,F,intermediate
Mr. John Knightley,Emma,9,12,87,0.0499438832772166,0.04789272030651339,M,intermediate,F,major
Mr. John Knightley,Isabella,2,3,6,0.0,0.0,M,intermediate,F,intermediate
Mr. John Knightley,Jane Fairfax,8,6,35,-0.004166666666666666,-0.014285714285714282,M,intermediate,F,intermediate
Mr. John Knightley,Mr. Elton,3,3,9,0.0,0.0,M,intermediate,M,intermediate
Mr. John Knightley,Mr. Knightley,9,5,39,0.08333333333333331,0.07692307692307691,M,intermediate,M,major
Mr. Knightley,Emma,9,117,836,0.000369315751604149,-0.00029648713859242937,M,major,F,major
Mr. Knightley,Miss Bates,9,10,57,0.054056437389770694,0.0596491228070175,M,major,F,intermediate
Mr. Knightley,Mr. Woodhouse,9,10,58,-0.11869488536155202,-0.09482758620689655,M,major,M,intermediate
Mr. Knightley,Mrs. Elton,9,11,76,-0.03418710918710919,-0.02870813397129187,M,major,F,intermediate
Mr. Knightley,Mrs. Weston,9,15,121,0.007289007289007326,0.005509641873278271,M,major,F,intermediate
Mr. Weston,Emma,9,13,92,-0.007886557886557892,-0.009197324414715725,M,intermediate,F,major
Mr. Weston,Mr. Frank Churchill,9,9,56,0.027557319223985917,0.01190476190476193,M,intermediate,M,major
