family,gender,mean_conv
adverbs,F,0.0005538817403214634
adverbs,M,-0.01789331103480336
articles,F,0.03068161202127875
articles,M,0.014998950034661505
auxiliary_verbs,F,-0.000573329036135903
auxiliary_verbs,M,0.006404622496107395
conjunctions,F,0.01227678025969459
conjunctions,M,0.0074282354568198355
impersonal_pronouns,F,0.020847682568407168
impersonal_pronouns,M,0.029590882027182852
negations,F,0.005374798197405083
negations,M,-0.04583460003690267
personal_pronouns,F,0.004498682861335553
personal_pronouns,M,0.0028345241704655416
prepositions,F,-0.0014779068695502232
prepositions,M,-0.0054497431510816185
quantifiers,F,0.003509768262332434
quantifiers,M,0.0004323149775094804
