family,gender,mean_conv
adverbs,F,-0.011805555555555555
adverbs,M,-0.003630287840814159
articles,F,-0.05633810633810632
articles,M,-0.022754329004329006
auxiliary_verbs,F,-0.0006038647342995147
auxiliary_verbs,M,-0.001511715797430083
conjunctions,F,-0.006277056277056276
conjunctions,M,-0.006239082554872027
impersonal_pronouns,F,0.021722325293753866
impersonal_pronouns,M,-0.030169340463458122
negations,F,-0.010192837465564718
negations,M,0.011423054070112897
personal_pronouns,F,-0.002074314574314572
personal_pronouns,M,-0.0047222222222222275
prepositions,F,-0.008692365835222978
prepositions,M,-0.001791726791726794
quantifiers,F,-0.04409142444856729
quantifiers,M,0.00019721019721020324
