family,gender,mean_conv
adverbs,F,0.0004491009608107382
adverbs,M,-0.0036710024666413996
articles,F,0.005491797394195068
articles,M,0.041977060212685297
auxiliary_verbs,F,0.005244851385976022
auxiliary_verbs,M,-0.001340763456696526
conjunctions,F,0.016566371751133332
conjunctions,M,0.01959147761723316
impersonal_pronouns,F,0.02403825690581984
impersonal_pronouns,M,0.0317448070426477
negations,F,-0.014929124042550219
negations,M,0.0030696610761970274
personal_pronouns,F,0.0022565585499337076
personal_pronouns,M,0.0030131328385004895
prepositions,F,-0.004577417516127955
prepositions,M,0.008039087631089153
quantifiers,F,0.010009193516493698
quantifiers,M,0.007202434023215306
