family,gender,mean_conv
adverbs,F,-0.001431482479370225
adverbs,M,0.03006810325522295
articles,F,0.007363058869522114
articles,M,0.010164345129152517
auxiliary_verbs,F,-0.003046040078411523
auxiliary_verbs,M,-0.0010313575161024664
conjunctions,F,0.007606928414511665
conjunctions,M,0.006948747281741222
impersonal_pronouns,F,0.011352945627158176
impersonal_pronouns,M,0.012595249380431816
negations,F,-0.01861212862335193
negations,M,0.026994043333912622
personal_pronouns,F,-0.00034898333239801366
personal_pronouns,M,0.0030131328385004895
prepositions,F,-0.006538803960273026
prepositions,M,-0.006345656228440882
quantifiers,F,-0.009893216138797577
quantifiers,M,0.003475675275682259
