family,importance,mean_conv
adverbs,intermediate,0.009435964608143225
adverbs,major,-0.01988191607822026
articles,intermediate,0.021771622759847002
articles,major,0.024939209655752283
auxiliary_verbs,intermediate,0.00515409260827149
auxiliary_verbs,major,-0.003151041837380066
auxiliary_verbs,minor,0.0
conjunctions,intermediate,0.02775627058680304
conjunctions,major,0.001357722983909862
impersonal_pronouns,intermediate,0.047268409319009164
impersonal_pronouns,major,-0.005045476111794209
negations,intermediate,0.023102209700506915
negations,major,-0.05680149451013832
personal_pronouns,intermediate,0.003389775241864686
personal_pronouns,major,0.001187760332815956
prepositions,intermediate,0.007176732945737654
prepositions,major,-0.009495412229764091
prepositions,minor,0.0
quantifiers,intermediate,0.04641912331210451
quantifiers,major,-0.05569955258427276
