family,importance,mean_conv
adverbs,intermediate,0.0005158730158730084
adverbs,major,-0.017878787878787872
articles,intermediate,-0.03960838544171877
articles,major,-0.031635401635401635
auxiliary_verbs,intermediate,0.0
auxiliary_verbs,major,-0.002173091458805742
auxiliary_verbs,minor,0.0
conjunctions,intermediate,-0.027166400850611384
conjunctions,major,0.01581289081289082
impersonal_pronouns,intermediate,-0.005149711399711404
impersonal_pronouns,major,-0.00842472342472343
negations,intermediate,0.03238689415160005
negations,major,-0.042591499409681224
personal_pronouns,intermediate,-0.004292929292929298
personal_pronouns,major,-0.0022817460317460293
prepositions,intermediate,-0.0018518518518518506
prepositions,major,-0.00906385281385282
prepositions,minor,0.0
quantifiers,intermediate,-0.014187796330653467
quantifiers,major,-0.0277128427128427
