family,importance,mean_conv
adverbs,intermediate,0.030948293742423576
adverbs,major,-0.018684934095634553
articles,intermediate,0.009188306605102278
articles,major,0.007805644484921051
auxiliary_verbs,intermediate,-0.0013394138852350053
auxiliary_verbs,major,-0.0036155296860902095
auxiliary_verbs,minor,0.0
conjunctions,intermediate,-0.000543474394656679
conjunctions,major,0.0206803825836791
impersonal_pronouns,intermediate,0.017626176551776403
impersonal_pronouns,major,0.0024504404443865166
negations,intermediate,-0.02540394630564909
negations,major,0.04878168488079069
personal_pronouns,intermediate,0.003040661989525628
personal_pronouns,major,-0.0020805115280600195
prepositions,intermediate,-0.0009238655153623775
prepositions,major,-0.0168477776318444
prepositions,minor,0.0
quantifiers,intermediate,0.00143914964150183
quantifiers,major,-0.01254156007870927
