family,importance,mean_conv
adverbs,intermediate,-0.005848786630036629
adverbs,major,0.005746401130322046
articles,intermediate,0.017910370864534026
articles,major,0.03140353218958256
auxiliary_verbs,intermediate,0.0035256539126508135
auxiliary_verbs,major,0.00011398541983295604
conjunctions,intermediate,0.014127226939726942
conjunctions,major,0.024220134723347345
impersonal_pronouns,intermediate,0.03127829772566614
impersonal_pronouns,major,0.02234883201930738
negations,intermediate,-0.02421678116122561
negations,major,0.02073708702173194
personal_pronouns,intermediate,0.005115828894024386
personal_pronouns,major,-0.0014310944199767332
prepositions,intermediate,-0.008430590573447718
prepositions,major,0.016369302228997136
quantifiers,intermediate,-0.0227119893298823
quantifiers,major,0.05585239913996724
