family,importance,mean_conv
adverbs,intermediate,0.015625
adverbs,major,-0.02672970304549252
articles,intermediate,-0.028869047619047614
articles,major,-0.04268101179865885
auxiliary_verbs,intermediate,0.0
auxiliary_verbs,major,-0.002074314574314572
conjunctions,intermediate,-0.00277777777777778
conjunctions,major,-0.009554188501556917
impersonal_pronouns,intermediate,-0.012484737484737492
impersonal_pronouns,major,-0.002581369248035919
negations,intermediate,-0.023484848484848483
negations,major,0.020023767082590627
personal_pronouns,intermediate,-0.00396825396825397
personal_pronouns,major,-0.0027021919879062746
prepositions,intermediate,-0.009126984126984126
prepositions,major,-0.0013571084999656467
quantifiers,intermediate,-0.048737373737373725
quantifiers,major,-0.004345037678371
