family,importance,mean_conv
adverbs,intermediate,0.017517014235764235
adverbs,major,0.004790442228542719
articles,intermediate,-0.0016939384790520182
articles,major,0.026453757425358857
auxiliary_verbs,intermediate,-0.004410854023857123
auxiliary_verbs,major,0.0014647757624257013
conjunctions,intermediate,0.01094103812853813
conjunctions,major,0.0014562082674339715
impersonal_pronouns,intermediate,0.007101378154009735
impersonal_pronouns,major,0.01900020241861394
negations,intermediate,0.006425955731511285
negations,major,-0.004264493576783798
personal_pronouns,intermediate,0.0021396384178339095
personal_pronouns,major,-0.00023107548782065507
prepositions,intermediate,-0.013797181654324512
prepositions,major,0.004980921616348864
quantifiers,intermediate,-0.005149519593499521
quantifiers,major,-0.001583117016960236
