pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00000,Mr. Woodhouse,Emma,0,1,poor miss taylor i wish she were here again what a pity it is that mr weston ever thought of her,i cannot agree with you papa you know i cannot mr weston is such a good humoured pleasant excellent man that he thoroughly deserves a good wife and you would not have had miss taylor live with us for ever and bear all my odd humours when she might have a house of her own,Emma,M,intermediate,F,major,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
00001,Emma,Mr. Woodhouse,1,2,i cannot agree with you papa you know i cannot mr weston is such a good humoured pleasant excellent man that he thoroughly deserves a good wife and you would not have had miss taylor live with us for ever and bear all my odd humours when she might have a house of her own,a house of her own but where is the advantage of a house of her own this is three times as large and you have never any odd humours my dear,Mr. Woodhouse,F,major,M,intermediate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00002,Mr. Woodhouse,Emma,2,3,a house of her own but where is the advantage of a house of her own this is three times as large and you have never any odd humours my dear,how often we shall be going to see them and they coming to see us we shall be always meeting we must begin we must go and pay wedding visit very soon,Emma,M,intermediate,F,major,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
00003,Emma,Mr. Woodhouse,3,4,how often we shall be going to see them and they coming to see us we shall be always meeting we must begin we must go and pay wedding visit very soon,my dear how am i to get so far randalls is such a distance i could not walk half so far,Mr. Woodhouse,F,major,M,intermediate,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1
00004,Mr. Woodhouse,Emma,4,5,my dear how am i to get so far randalls is such a distance i could not walk half so far,no papa nobody thought of your walking we must go in the carriage to be sure,Emma,M,intermediate,F,major,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0
00005,Emma,Mr. Woodhouse,5,6,no papa nobody thought of your walking we must go in the carriage to be sure,the carriage but james will not like to put the horses to for such a little way and where are the poor horses to be while we are paying our visit,Mr. Woodhouse,F,major,M,intermediate,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
00006,Mr. Woodhouse,Emma,6,7,the carriage but james will not like to put the horses to for such a little way and where are the poor horses to be while we are paying our visit,they are to be put into mr weston s stable papa you know we have settled all that already we talked it all over with mr weston last night and as for james you may be very sure he will always like going to randalls because of his daughter s being housemaid there i only doubt whether he will ever take us anywhere else that was your doing papa you got hannah that good place nobody thought of hannah till you mentioned her james is so obliged to you,Emma,M,intermediate,F,major,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
00007,Emma,Mr. Woodhouse,7,8,they are to be put into mr weston s stable papa you know we have settled all that already we talked it all over with mr weston last night and as for james you may be very sure he will always like going to randalls because of his daughter s being housemaid there i only doubt whether he will ever take us anywhere else that was your doing papa you got hannah that good place nobody thought of hannah till you mentioned her james is so obliged to you,i am very glad i did think of her it was very lucky for i would not have had poor james think himself slighted upon any account and i am sure she will make a very good servant she is a civil pretty spoken girl i have a great opinion of her whenever i see her she always curtseys and asks me how i do in a very pretty manner and when you have had her here to do needlework i observe she always turns the lock of the door the right way and never bangs it i am sure she will be an excellent servant and it will be a great comfort to poor miss taylor to have somebody about her that she is used to see whenever james goes over to see his daughter you know she will be hearing of us he will be able to tell her how we all are,Mr. Woodhouse,F,major,M,intermediate,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00008,Mr. Woodhouse,Mr. Knightley,9,10,it is very kind of you mr knightley to come out at this late hour to call upon us i am afraid you must have had a shocking walk,not at all sir it is a beautiful moonlight night and so mild that i must draw back from your great fire,Emma; Mr. Knightley,M,intermediate,M,major,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
00009,Mr. Knightley,Mr. Woodhouse,10,11,not at all sir it is a beautiful moonlight night and so mild that i must draw back from your great fire,but you must have found it very damp and dirty i wish you may not catch cold,Emma; Mr. Woodhouse,M,major,M,intermediate,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
