character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Mr. Knightley,5,6,0.1889909719970764,0.1667101764145978,0.04938672438672439,0.26515151515151514,M,major
Mr. John Knightley,5,4,0.1391015115153044,0.027596596951435598,0.05496031746031746,0.0,M,intermediate
Mr. Frank Churchill,5,5,0.1344501582694928,0.046510751806145396,0.025252525252525252,0.15151515151515152,M,major
Emma,12,11,0.1292438997787416,0.15923464529012682,0.42123015873015873,0.44696969696969696,F,major
Mr. Elton,3,4,0.0994152046783625,0.0527631578947368,0.011183261183261184,0.03787878787878788,M,intermediate
Mrs. Weston,5,4,0.0838658290733672,0.032615398760806505,0.017676767676767676,0.03787878787878788,F,intermediate
Miss Bates,4,3,0.0697877301146929,0.1079867187149458,0.004419191919191919,0.12121212121212122,F,intermediate
Jane Fairfax,5,5,0.0615013242890479,0.1581671339967797,0.03605699855699856,0.09848484848484848,F,intermediate
Mrs. Elton,5,6,0.0550169694194499,0.13461325077090378,0.037247474747474744,0.05303030303030303,F,intermediate
Mr. Woodhouse,5,5,0.0469193027556989,0.1367532462292122,0.058044733044733045,0.17424242424242425,M,intermediate
Isabella,2,3,0.03099173553719,0.0060646900269541,0.006313131313131313,0.0,F,intermediate
Mr. Weston,5,5,0.02804653076392201,0.037847991665156996,0.020652958152958156,0.0,M,intermediate
Harriet Smith,1,1,0.0006334426021822,0.0011008522727272,0.0,0.0,F,major
