pair,adverbs,articles,auxiliary_verbs,conjunctions,impersonal_pronouns,negations,personal_pronouns,prepositions,quantifiers
Emma→Harriet Smith,0.0201465201465201,-0.0197483675744545,0.0173992673992673,0.0027472527472527,-0.0006370441153049,0.0018014772113132,-0.0034843205574912,-0.0105820105820105,0.0272830617658204
Emma→Miss Bates,-0.0476190476190476,-0.0346320346320345,-0.011204481792717,0.0183150183150183,-0.0389610389610388,,-0.0050125313283208,0.0327380952380952,-0.2095238095238095
Emma→Mr. Elton,-0.0166666666666667,0.0817307692307692,0.0,0.05,-0.0432692307692307,0.0357142857142857,0.0,0.0,-0.0374999999999999
Emma→Mr. Frank Churchill,0.0067567567567567,0.0587680703959773,-0.0039169604386996,0.0472972972972972,0.0288697788697789,0.0675675675675675,-0.0081900081900082,-0.0152857775808594,0.0234014502307186
Emma→Mr. John Knightley,,,,,,,-0.009090909090909,,
Emma→Mr. Knightley,0.0214285714285713,0.1412698412698413,0.0042304230423041,-0.0106430155210642,0.0085155350978135,0.0377622377622377,-0.0042780748663101,-0.0229249011857707,0.0211624441132638
Emma→Mr. Weston,,,0.0,,-0.05,,0.0,,
Emma→Mr. Woodhouse,-0.0104166666666666,-0.0357142857142857,0.0,-0.0144230769230768,0.1420454545454545,-0.0357142857142857,0.0,-0.0041666666666666,-0.0421195652173913
Emma→Mrs. Elton,0.0,0.0,0.0,-0.0109890109890109,0.0,0.1428571428571429,0.0,0.0,-0.057142857142857
Emma→Mrs. Weston,0.0629370629370629,-0.0884173297966401,-0.0006747638326585,-0.0326340326340326,0.0641025641025641,-0.074074074074074,0.0,-0.0029304029304029,-0.0256410256410256
Harriet Smith→Emma,0.0017647058823528,0.014313725490196,0.0154838709677418,0.0031578947368421,-0.02,-0.0336363636363636,-0.0162790697674418,0.0141095890410958,0.0857627118644067
Isabella→Mr. Woodhouse,0.0,0.0416666666666666,0.0,-0.0178571428571429,0.0961538461538461,,0.0,0.0,0.1041666666666666
Jane Fairfax→Mrs. Elton,-0.013986013986014,-0.0230769230769231,0.0,0.1538461538461538,,-0.0192307692307692,0.0,0.0,
Miss Bates→Emma,-0.0318181818181817,0.0170454545454545,-0.0086580086580086,0.0136363636363636,-0.0263157894736842,0.0852272727272727,0.0432900432900432,0.0272727272727273,0.0263157894736841
Miss Bates→Mr. Knightley,0.0604395604395604,0.0,-0.0054945054945054,0.1071428571428571,,,-0.0109890109890109,-0.0164835164835164,-0.0064935064935065
Mr. Elton→Emma,0.0150375939849624,0.0488721804511278,0.0,0.0150375939849624,0.0631578947368421,-0.0161943319838056,0.0,0.0,
Mr. Frank Churchill→Emma,0.0089743589743589,0.0449927431059505,-0.0034650034650034,-0.0238726790450928,-0.01002331002331,-0.0641025641025641,-0.0085470085470086,-0.0333333333333333,-0.0054945054945054
Mr. John Knightley→Emma,0.0641025641025641,0.1153846153846153,0.0,0.1076923076923077,,,0.0,0.0576923076923077,
Mr. Knightley→Emma,-0.0067476383265857,-0.0275171982489055,-0.003434065934066,-0.0207570207570207,0.0017651430694909,0.0384615384615384,-0.0027229407760381,0.0108780108780108,0.0133980133980133
Mr. Knightley→Mr. Woodhouse,,,,,,,0.0,,
Mr. Knightley→Mrs. Elton,,,0.0,-0.0181818181818181,,,0.0,0.0,
Mr. Knightley→Mrs. Weston,-0.0102564102564102,0.0256410256410256,0.0,-0.0047619047619047,-0.0060606060606059,-0.0238095238095237,0.0,0.0,0.0848484848484849
Mr. Weston→Emma,,,0.0,,-0.0559440559440559,,0.0,0.034965034965035,-0.1076923076923077
Mr. Weston→Mrs. Elton,0.0,0.0,0.0,0.0666666666666666,,,0.0,0.0,-0.05
Mr. Woodhouse→Emma,-0.0080645161290322,-0.065340909090909,-0.0020161290322581,0.0150862068965517,-0.0024038461538461,-0.0162499999999999,-0.001008064516129,-0.0096982758620689,-0.0369318181818182
Mr. Woodhouse→Isabella,0.0,-0.0109890109890109,0.0,-0.0194805194805195,-0.0119047619047619,,0.0,0.0,
Mr. Woodhouse→Mr. Knightley,-0.0384615384615384,-0.0692307692307693,-0.0064102564102564,-0.0692307692307693,0.0615384615384615,,0.0,-0.0279720279720279,0.0615384615384615
Mrs. Elton→Emma,0.0,-0.0190476190476189,0.0,-0.0047619047619047,0.0619047619047619,0.1,0.0,0.0,0.0358974358974359
Mrs. Elton→Jane Fairfax,-0.0095238095238096,0.0461538461538461,0.0,0.0424242424242423,0.0606060606060606,0.0424242424242423,0.0,0.0,
Mrs. Elton→Mr. Knightley,,,,,,,0.0,,
Mrs. Elton→Mr. Weston,0.0,,0.0,,,,0.0,0.0,
Mrs. Weston→Emma,0.0035714285714286,-0.0333333333333333,-0.0006410256410256,0.0367647058823529,0.025,0.0153846153846154,0.0,0.0,0.0535714285714286
Mrs. Weston→Mr. Knightley,-0.0073529411764705,-0.0490196078431371,0.0,-0.0073529411764705,-0.0147058823529411,-0.0490196078431371,0.0,0.0,0.0441176470588234
