uid,pair_id,side,text
p00000_A,00000,A,they are to be put into mr weston s stable papa you know we have settled all that already we talked it all over with mr weston last night and as for james you may be very sure he will always like going to randalls because of his daughter s being housemaid there i only doubt whether he will ever take us anywhere else that was your doing papa you got hannah that good place nobody thought of hannah till you mentioned her james is so obliged to you
p00001_A,00001,A,ah poor miss taylor tis a sad business
p00002_A,00002,A,poor mr and miss woodhouse if you please but i cannot possibly say i have a great regard for you and emma but when it comes to the question of dependence or independence at any rate it must be better to have only one to please than two
p00003_A,00003,A,i believe it is very true my dear indeed i am afraid i am sometimes very fanciful and troublesome
p00004_A,00004,A,emma knows i never flatter her but i meant no reflection on any body miss taylor has been used to have two persons to please she will now have but one the chances are that she must be a gainer
p00005_A,00005,A,well you want to hear about the wedding and i shall be happy to tell you for we all behaved charmingly every body was punctual every body in their best looks not a tear and hardly a long face to be seen oh no we all felt that we were going to be only half a mile apart and were sure of meeting every day
p00006_A,00006,A,dear emma bears every thing so well but mr knightley she is really very sorry to lose poor miss taylor and i am sure she will miss her more than she thinks for
p00007_A,00007,A,it is impossible that emma should not miss such a companion we should not like her so well as we do sir if we could suppose it but she knows how much the marriage is to miss taylor s advantage she knows how very acceptable it must be at miss taylor s time of life to be settled in a home of her own and how important to her to be secure of a comfortable provision and therefore cannot allow herself to feel so much pain as pleasure every friend of miss taylor must be glad to have her so happily married
p00008_A,00008,A,ah my dear i wish you would not make matches and foretell things for whatever you say always comes to pass pray do not make any more matches
p00009_A,00009,A,and have you never known the pleasure and triumph of a lucky guess i pity you i thought you cleverer for depend upon it a lucky guess is never merely luck there is always some talent in it and as to my poor word success which you quarrel with i do not know that i am so entirely without any claim to it you have drawn two pretty pictures but i think there may be a third a something between the do nothing and the do all if i had not promoted mr weston s visits here and given many little encouragements and smoothed many little matters it might not have come to any thing after all i think you must know hartfield enough to comprehend that
p00010_A,00010,A,a straightforward open hearted man like weston and a rational unaffected woman like miss taylor may be safely left to manage their own concerns you are more likely to have done harm to yourself than good to them by interference
p00011_A,00011,A,only one more papa only for mr elton poor mr elton you like mr elton papa i must look about for a wife for him there is nobody in highbury who deserves him and he has been here a whole year and has fitted up his house so comfortably that it would be a shame to have him single any longer and i thought when he was joining their hands to day he looked so very much as if he would like to have the same kind office done for him i think very well of mr elton and this is the only way i have of doing him a service
p00012_A,00012,A,with a great deal of pleasure sir at any time and i agree with you entirely that it will be a much better thing invite him to dinner emma and help him to the best of the fish and the chicken but leave him to chuse his own wife depend upon it a man of six or seven and twenty can take care of himself
p00013_A,00013,A,mrs bates let me propose your venturing on one of these eggs an egg boiled very soft is not unwholesome serle understands boiling an egg better than any body i would not recommend an egg boiled by any body else but you need not be afraid they are very small you see one of our small eggs will not hurt you miss bates let emma help you to a little bit of tart a very little bit ours are all apple tarts you need not be afraid of unwholesome preserves here i do not advise the custard mrs goddard what say you to half a glass of wine a small half glass put into a tumbler of water i do not think it could disagree with you
p00014_A,00014,A,oh dear no never
p00015_A,00015,A,by all means we shall be most happy to consider you as one of the party
p00016_A,00016,A,miss woodhouse has given her friend the only beauty she wanted the expression of the eye is most correct but miss smith has not those eyebrows and eyelashes it is the fault of her face that she has them not
p00017_A,00017,A,you have made her too tall emma
