uid,pair_id,side,text,Segment,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,quantity
p00000_A,00000,A,i think we cannot do better let us send for the child,1,91.67,58.33,25,25,8.33,16.67,0,0,0,0,8.33,8.33,16.67,0,0,8.33,0
p00001_A,00001,A,there is a great deal of truth in what you say and far be it from me to throw any fanciful impediment in the way of a plan which would be so consistent with the relative situations of each i only meant to observe that it ought not to be lightly engaged in and that to make it really serviceable to mrs price and creditable to ourselves we must secure to the child or consider ourselves engaged to secure to her hereafter as circumstances may arise the provision of a gentlewoman if no such establishment should offer as you are so sanguine in expecting,1,77.88,67.31,14.42,7.69,1.92,2.88,1.92,0.96,0,6.73,6.73,21.15,9.62,5.77,8.65,1.92,1.92
p00002_A,00002,A,i thoroughly understand you you are everything that is generous and considerate and i am sure we shall never disagree on this point whatever i can do as you well know i am always ready enough to do for the good of those i love and though i could never feel for this little girl the hundredth part of the regard i bear your own dear children nor consider her in any respect so much my own i should hate myself if i were capable of neglecting her is not she a sister s child and could i bear to see her want while i had a bit of bread to give her my dear sir thomas with all my faults i have a warm heart and poor as i am would rather deny myself the necessaries of life than do an ungenerous thing so if you are not against it i will write to my poor sister tomorrow and make the proposal and as soon as matters are settled i will engage to get the child to mansfield you shall have no trouble about it my own trouble you know i never regard i will send nanny to london on purpose and she may have a bed at her cousin the saddler s and the child be appointed to meet her there they may easily get her from portsmouth to town by the coach under the care of any creditable person that may chance to be going i dare say there is always some reputable tradesman s wife or other going up,1,78.33,65.78,20.15,16.35,9.51,0.38,2.66,3.42,0.38,3.8,5.7,12.93,12.17,5.7,8.37,2.66,3.42
p00003_A,00003,A,where shall the child come to first sister to you or to us then she had better come to us,1,90,75,20,20,0,10,5,5,0,0,5,20,10,5,10,0,5
p00004_A,00004,A,should her disposition be really bad we must not for our own children s sake continue her in the family but there is no reason to expect so great an evil we shall probably see much to wish altered in her and must prepare ourselves for gross ignorance some meanness of opinions and very distressing vulgarity of manner but these are not incurable faults nor i trust can they be dangerous for her associates had my daughters been younger than herself i should have considered the introduction of such a companion as a matter of very serious moment but as it is i hope there can be nothing to fear for them and everything to hope for her from the association,1,76.03,66.94,15.7,13.22,3.31,3.31,0,4.96,1.65,2.48,4.96,15.7,13.22,5.79,9.09,4.13,1.65
p00005_A,00005,A,that is exactly what i think and what i was saying to my husband this morning it will be an education for the child said i only being with her cousins if miss lee taught her nothing she would learn to be good and clever from them,1,80.85,68.09,27.66,17.02,8.51,0,0,6.38,2.13,10.64,4.26,10.64,14.89,2.13,6.38,2.13,0
p00006_A,00006,A,i hope she will not tease my poor pug i have but just got julia to leave it alone,1,89.47,63.16,26.32,21.05,15.79,0,0,5.26,0,5.26,0,5.26,10.53,10.53,5.26,5.26,0
p00007_A,00007,A,fanny was good natured enough,1,60,40,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20
p00008_A,00008,A,to be sure my dear that is very stupid indeed and shows a great want of genius and emulation but all things considered i do not know whether it is not as well that it should be so for though you know owing to me your papa and mama are so good as to bring her up with you it is not at all necessary that she should be as accomplished as you are on the contrary it is much more desirable that there should be a difference,1,87.5,76.14,20.45,10.23,3.41,0,4.55,2.27,0,10.23,3.41,14.77,15.91,7.95,13.64,3.41,4.55
p00009_A,00009,A,my dear sister if you can persuade him into anything of the sort it will be a fresh matter of delight to me to find myself allied to anybody so clever and i shall only regret that you have not half a dozen daughters to dispose of if you can persuade henry to marry you must have the address of a frenchwoman all that english abilities can do has been tried already i have three very particular friends who have been all dying for him in their turn and the pains which they their mothers very clever women as well as my dear aunt and myself have taken to reason coax or trick him into marrying is inconceivable he is the most horrible flirt that can be imagined if your miss bertrams do not like to have their hearts broke let them avoid henry,1,77.08,65.97,20.14,15.28,4.86,0,3.47,2.78,3.47,4.86,4.86,12.5,14.58,4.17,6.94,1.39,4.17
p00010_A,00010,A,my dear brother i will not believe this of you,1,90,70,40,30,20,0,10,0,0,10,0,10,10,0,0,10,0
p00011_A,00011,A,no i am sure you are too good you will be kinder than mary you will allow for the doubts of youth and inexperience i am of a cautious temper and unwilling to risk my happiness in a hurry nobody can think more highly of the matrimonial state than myself i consider the blessing of a wife as most justly described in those discreet lines of the poet heaven s last best gift,1,64.38,57.53,13.7,10.96,6.85,0,4.11,0,0,2.74,9.59,16.44,9.59,1.37,6.85,2.74,2.74
p00012_A,00012,A,i pay very little regard to what any young person says on the subject of marriage if they profess a disinclination for it i only set it down that they have not yet seen the right person,1,72.97,62.16,21.62,10.81,5.41,0,0,0,5.41,10.81,8.11,13.51,2.7,8.11,2.7,2.7,2.7
p00013_A,00013,A,oh yes i am not at all ashamed of it i would have everybody marry if they can do it properly i do not like to have people throw themselves away but everybody should marry as soon as they can do it to advantage,1,86.36,79.55,25,13.64,6.82,0,0,0,6.82,11.36,0,18.18,22.73,2.27,9.09,4.55,2.27
p00014_A,00014,A,but miss bertram does not care three straws for him that is your opinion of your intimate friend i do not subscribe to it i am sure miss bertram is very much attached to mr rushworth i could see it in her eyes when he was mentioned i think too well of miss bertram to suppose she would ever give her hand without her heart,1,72.31,63.08,23.08,18.46,6.15,0,3.08,9.23,0,4.62,0,12.31,12.31,9.23,3.08,3.08,3.08
p00015_A,00015,A,i believe i know what you mean but i will not undertake to answer the question my cousin is grown up she has the age and sense of a woman but the outs and not outs are beyond me,1,69.23,64.1,20.51,17.95,12.82,0,2.56,2.56,0,2.56,10.26,7.69,10.26,2.56,10.26,5.13,0
p00016_A,00016,A,and a very pretty story it is and with more truth in it i dare say than does credit to miss anderson it is too common a fault mothers certainly have not yet got quite the right way of managing their daughters i do not know where the error lies i do not pretend to set people right but i do see that they are often wrong,1,76.12,64.18,14.93,8.96,5.97,0,0,0,2.99,5.97,5.97,8.96,11.94,11.94,5.97,4.48,2.99
p00017_A,00017,A,those who are showing the world what female manners should be are doing a great deal to set them right,1,70,60,20,10,0,0,0,0,5,10,10,5,25,0,0,0,0
p00018_A,00018,A,the error is plain enough such girls are ill brought up they are given wrong notions from the beginning they are always acting upon motives of vanity and there is no more real modesty in their behaviour before they appear in public than afterwards,1,81.82,63.64,11.36,11.36,2.27,0,0,0,9.09,0,4.55,18.18,13.64,6.82,6.82,2.27,4.55
p00019_A,00019,A,yes that is very inconvenient indeed it leads one astray one does not know what to do the close bonnet and demure air you describe so well and nothing was ever juster tell one what is expected but i got into a dreadful scrape last year from the want of them i went down to ramsgate for a week with a friend last september just after my return from the west indies my friend sneyd you have heard me speak of sneyd edmund his father and mother and sisters were there all new to me when we reached albion place they were out we went after them and found them on the pier mrs and the two miss sneyds with others of their acquaintance i made my bow in form and as mrs sneyd was surrounded by men attached myself to one of her daughters walked by her side all the way home and made myself as agreeable as i could the young lady perfectly easy in her manners and as ready to talk as to listen i had not a suspicion that i could be doing anything wrong they looked just the same both well dressed with veils and parasols like other girls but i afterwards found that i had been giving all my attention to the youngest who was not out and had most excessively offended the eldest miss augusta ought not to have been noticed for the next six months and miss sneyd i believe has never forgiven me,1,77.38,62.7,16.27,13.1,7.14,0.79,0.79,1.59,2.38,3.17,5.95,14.29,8.73,5.16,9.13,2.38,5.95
p00020_A,00020,A,oh for shame a prison indeed sotherton court is the noblest old place in the world,1,56.25,43.75,0,0,0,0,0,0,0,0,18.75,12.5,6.25,6.25,0,0,0
p00021_A,00021,A,no wonder that mr rushworth should think so at present but depend upon it sotherton will have every improvement in time which his heart can desire,1,69.23,57.69,15.38,3.85,0,0,0,3.85,0,11.54,0,11.54,15.38,3.85,7.69,3.85,3.85
p00022_A,00022,A,your best friend upon such an occasion would be mr repton i imagine,1,61.54,53.85,15.38,15.38,7.69,0,7.69,0,0,0,7.69,7.69,15.38,0,0,0,0
p00023_A,00023,A,that is what i was thinking of as he has done so well by smith i think i had better have him at once his terms are five guineas a day,1,90.32,77.42,25.81,19.35,9.68,0,0,9.68,0,6.45,3.23,12.9,22.58,9.68,6.45,0,9.68
p00024_A,00024,A,sir it is a moor park we bought it as a moor park and it cost us that is it was a present from sir thomas but i saw the bill and i know it cost seven shillings and was charged as a moor park,1,71.11,60,22.22,8.89,4.44,4.44,0,0,0,13.33,11.11,6.67,8.89,0,13.33,0,6.67
p00025_A,00025,A,you were imposed on ma am these potatoes have as much the flavour of a moor park apricot as the fruit from that tree it is an insipid fruit at the best but a good apricot is eatable which none from my garden are,1,65.91,63.64,15.91,4.55,2.27,0,2.27,0,0,11.36,13.64,15.91,13.64,0,6.82,2.27,4.55
p00026_A,00026,A,the truth is ma am that dr grant hardly knows what the natural taste of our apricot is he is scarcely ever indulged with one for it is so valuable a fruit with a little assistance and ours is such a remarkably large fair sort that what with early tarts and preserves my cook contrives to get them all,1,79.66,61.02,16.95,8.47,1.69,3.39,0,1.69,1.69,8.47,8.47,10.17,10.17,6.78,5.08,0,6.78
p00027_A,00027,A,mr rushworth if i were you i would have a very pretty shrubbery one likes to get out into a shrubbery in fine weather,1,75,66.67,12.5,12.5,8.33,0,4.17,0,0,0,8.33,16.67,12.5,8.33,4.17,0,4.17
p00028_A,00028,A,smith has not much above a hundred acres altogether in his grounds which is little enough and makes it more surprising that the place can have been so improved now at sotherton we have a good seven hundred without reckoning the water meadows so that i think if so much could be done at compton we need not despair there have been two or three fine old trees cut down that grew too near the house and it opens the prospect amazingly which makes me think that repton or anybody of that sort would certainly have the avenue at sotherton down the avenue that leads from the west front to the top of the hill you know,1,77.78,65.81,14.53,5.13,1.71,1.71,0.85,0.85,0,9.4,9.4,11.11,11.11,6.84,6.84,1.71,9.4
p00029_A,00029,A,the avenue oh i do not recollect it i really know very little of sotherton,1,80,60,20,13.33,13.33,0,0,0,0,6.67,6.67,6.67,6.67,13.33,0,6.67,6.67
p00030_A,00030,A,oh it does not signify whenever i do see it you will tell me how it has been altered,1,89.47,73.68,31.58,15.79,10.53,0,5.26,0,0,15.79,0,0,26.32,10.53,5.26,5.26,0
p00031_A,00031,A,i do not wish to influence mr rushworth but had i a place to new fashion i should not put myself into the hands of an improver i would rather have an inferior degree of beauty of my own choice and acquired progressively i would rather abide by my own blunders than by his,1,70.37,62.96,16.67,16.67,14.81,0,0,1.85,0,0,7.41,16.67,11.11,3.7,5.56,3.7,0
p00032_A,00032,A,it would be delightful to me to see the progress of it all,1,84.62,76.92,23.08,7.69,7.69,0,0,0,0,15.38,7.69,23.08,15.38,0,0,0,7.69
p00033_A,00033,A,if i write i will say whatever you wish me but i do not at present foresee any occasion for writing,1,85.71,66.67,28.57,23.81,19.05,0,4.76,0,0,4.76,0,9.52,9.52,0,9.52,4.76,0
p00034_A,00034,A,no i dare say nor if he were to be gone a twelvemonth would you ever write to him nor he to you if it could be helped the occasion would never be foreseen what strange creatures brothers are you would not write to each other but upon the most urgent necessity in the world and when obliged to take up the pen to say that such a horse is ill or such a relation dead it is done in the fewest possible words you have but one style among you i know it perfectly henry who is in every other respect exactly what a brother should be who loves me consults me confides in me and will talk to me by the hour together has never yet turned the page in a letter and very often it is nothing more than dear mary i am just arrived bath seems full and everything as usual yours sincerely that is the true manly style that is a complete brother s letter,1,81.18,68.82,17.06,11.18,4.71,0,3.53,1.76,0,5.88,8.24,10.59,13.53,5.88,8.24,4.12,4.71
p00035_A,00035,A,when they are at a distance from all their family they can write long letters,1,80,66.67,20,20,0,0,0,0,20,0,6.67,13.33,13.33,6.67,6.67,0,13.33
