uid,pair_id,side,text,Segment,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,quantity
p00000_A,00000,A,i think we cannot do better let us send for the child,1,91.67,58.33,25,25,8.33,16.67,0,0,0,0,8.33,8.33,16.67,0,0,8.33,0
p00001_A,00001,A,i think sister we need not keep miss lee any longer when fanny goes to live with you,1,77.78,44.44,16.67,16.67,5.56,5.56,5.56,0,0,0,0,11.11,0,5.56,5.56,5.56,5.56
p00002_A,00002,A,is she not to live with you i thought you had settled it with sir thomas,1,87.5,68.75,31.25,25,6.25,0,12.5,6.25,0,6.25,0,18.75,12.5,0,0,6.25,0
p00003_A,00003,A,indeed i do not know i suppose he thought it best,1,100,63.64,36.36,27.27,18.18,0,0,9.09,0,9.09,0,0,9.09,9.09,0,9.09,0
p00004_A,00004,A,no he only said he thought it very likely and i thought so too we both thought it would be a comfort to you but if you do not like it there is no more to be said she is no encumbrance here,1,95.35,81.4,23.26,16.28,2.33,2.33,4.65,6.98,0,6.98,2.33,6.98,13.95,13.95,9.3,9.3,4.65
p00005_A,00005,A,then you will not mind living by yourself quite alone,1,90,80,20,20,0,0,20,0,0,0,0,10,10,20,10,10,0
p00006_A,00006,A,i dare say you will you always do don t you,1,72.73,63.64,36.36,36.36,9.09,0,27.27,0,0,0,0,0,18.18,9.09,0,0,0
p00007_A,00007,A,you are very good but do not trouble yourself about them they are sure of being well provided for sir thomas will take care of that,1,80.77,69.23,19.23,15.38,0,0,7.69,0,7.69,3.85,0,15.38,19.23,11.54,3.85,3.85,0
p00008_A,00008,A,oh that will soon be settled sir thomas has been writing about it i know,1,86.67,60,20,6.67,6.67,0,0,0,0,13.33,0,6.67,26.67,13.33,0,0,0
p00009_A,00009,A,yes and i am afraid they will be the last this year poor thing she found it hot enough but they were so full blown that one could not wait,1,93.33,66.67,26.67,13.33,3.33,0,0,3.33,6.67,13.33,3.33,0,16.67,3.33,10,3.33,13.33
