a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Edmund,Fanny Price,adverbs,91,78,54,0.6923076923076923,0.6483516483516484,0.04395604395604391,M,major,F,major
Edmund,Fanny Price,articles,91,74,44,0.5945945945945946,0.5274725274725275,0.06712206712206714,M,major,F,major
Edmund,Fanny Price,auxiliary_verbs,91,88,76,0.8636363636363636,0.8571428571428571,0.006493506493506551,M,major,F,major
Edmund,Fanny Price,conjunctions,91,82,57,0.6951219512195121,0.7032967032967034,-0.008174752077191205,M,major,F,major
Edmund,Fanny Price,impersonal_pronouns,91,82,47,0.573170731707317,0.5494505494505495,0.02372018225676753,M,major,F,major
Edmund,Fanny Price,negations,91,60,33,0.55,0.5494505494505495,0.0005494505494505475,M,major,F,major
Edmund,Fanny Price,personal_pronouns,91,91,79,0.8681318681318682,0.8681318681318682,0.0,M,major,F,major
Edmund,Fanny Price,prepositions,91,83,65,0.7831325301204819,0.7472527472527473,0.03587978286773463,M,major,F,major
Edmund,Fanny Price,quantifiers,91,65,32,0.49230769230769234,0.4725274725274725,0.01978021978021982,M,major,F,major
Edmund,Henry Crawford,adverbs,8,6,5,0.8333333333333334,0.875,-0.04166666666666663,M,major,M,major
Edmund,Henry Crawford,articles,8,5,4,0.8,0.875,-0.07499999999999996,M,major,M,major
Edmund,Henry Crawford,auxiliary_verbs,8,7,7,1.0,1.0,0.0,M,major,M,major
Edmund,Henry Crawford,conjunctions,8,8,6,0.75,0.75,0.0,M,major,M,major
Edmund,Henry Crawford,impersonal_pronouns,8,7,4,0.5714285714285714,0.625,-0.0535714285714286,M,major,M,major
Edmund,Henry Crawford,negations,8,3,1,0.3333333333333333,0.625,-0.2916666666666667,M,major,M,major
Edmund,Henry Crawford,personal_pronouns,8,8,8,1.0,1.0,0.0,M,major,M,major
Edmund,Henry Crawford,prepositions,8,7,6,0.8571428571428571,0.875,-0.017857142857142905,M,major,M,major
Edmund,Henry Crawford,quantifiers,8,4,3,0.75,0.75,0.0,M,major,M,major
Edmund,Lady Bertram,adverbs,11,7,6,0.8571428571428571,0.9090909090909091,-0.051948051948051965,M,major,F,intermediate
Edmund,Lady Bertram,articles,11,7,2,0.2857142857142857,0.36363636363636365,-0.07792207792207795,M,major,F,intermediate
Edmund,Lady Bertram,auxiliary_verbs,11,11,10,0.9090909090909091,0.9090909090909091,0.0,M,major,F,intermediate
Edmund,Lady Bertram,conjunctions,11,8,7,0.875,0.8181818181818182,0.05681818181818177,M,major,F,intermediate
Edmund,Lady Bertram,impersonal_pronouns,11,6,4,0.6666666666666666,0.5454545454545454,0.12121212121212122,M,major,F,intermediate
Edmund,Lady Bertram,negations,11,7,5,0.7142857142857143,0.6363636363636364,0.07792207792207795,M,major,F,intermediate
Edmund,Lady Bertram,personal_pronouns,11,11,11,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Lady Bertram,prepositions,11,9,7,0.7777777777777778,0.7272727272727273,0.0505050505050505,M,major,F,intermediate
Edmund,Lady Bertram,quantifiers,11,6,2,0.3333333333333333,0.2727272727272727,0.06060606060606061,M,major,F,intermediate
Edmund,Maria Bertram,articles,6,3,3,1.0,0.8333333333333334,0.16666666666666663,M,major,F,intermediate
Edmund,Maria Bertram,auxiliary_verbs,6,5,5,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Maria Bertram,conjunctions,6,4,4,1.0,0.8333333333333334,0.16666666666666663,M,major,F,intermediate
Edmund,Maria Bertram,impersonal_pronouns,6,5,5,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Maria Bertram,personal_pronouns,6,5,5,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Maria Bertram,prepositions,6,4,4,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Mary Crawford,adverbs,46,37,30,0.8108108108108109,0.8478260869565217,-0.037015276145710874,M,major,F,major
Edmund,Mary Crawford,articles,46,37,32,0.8648648648648649,0.8695652173913043,-0.004700352526439411,M,major,F,major
Edmund,Mary Crawford,auxiliary_verbs,46,44,44,1.0,1.0,0.0,M,major,F,major
Edmund,Mary Crawford,conjunctions,46,35,30,0.8571428571428571,0.8478260869565217,0.009316770186335366,M,major,F,major
Edmund,Mary Crawford,impersonal_pronouns,46,33,31,0.9393939393939394,0.8478260869565217,0.09156785243741772,M,major,F,major
Edmund,Mary Crawford,negations,46,29,24,0.8275862068965517,0.7391304347826086,0.08845577211394307,M,major,F,major
Edmund,Mary Crawford,personal_pronouns,46,43,41,0.9534883720930233,0.9565217391304348,-0.0030333670374115274,M,major,F,major
Edmund,Mary Crawford,prepositions,46,41,41,1.0,1.0,0.0,M,major,F,major
Edmund,Mary Crawford,quantifiers,46,30,23,0.7666666666666667,0.782608695652174,-0.01594202898550723,M,major,F,major
Edmund,Mrs. Norris,adverbs,6,3,3,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Mrs. Norris,articles,6,3,2,0.6666666666666666,0.6666666666666666,0.0,M,major,F,intermediate
Edmund,Mrs. Norris,auxiliary_verbs,6,6,6,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Mrs. Norris,conjunctions,6,3,2,0.6666666666666666,0.8333333333333334,-0.16666666666666674,M,major,F,intermediate
Edmund,Mrs. Norris,personal_pronouns,6,5,5,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Mrs. Norris,prepositions,6,4,4,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Tom Bertram,adverbs,8,6,6,1.0,1.0,0.0,M,major,M,intermediate
Edmund,Tom Bertram,articles,8,5,5,1.0,0.75,0.25,M,major,M,intermediate
Edmund,Tom Bertram,auxiliary_verbs,8,8,7,0.875,0.875,0.0,M,major,M,intermediate
Edmund,Tom Bertram,conjunctions,8,5,5,1.0,0.875,0.125,M,major,M,intermediate
Edmund,Tom Bertram,impersonal_pronouns,8,5,5,1.0,0.875,0.125,M,major,M,intermediate
Edmund,Tom Bertram,negations,8,7,6,0.8571428571428571,0.875,-0.017857142857142905,M,major,M,intermediate
Edmund,Tom Bertram,personal_pronouns,8,7,6,0.8571428571428571,0.875,-0.017857142857142905,M,major,M,intermediate
Edmund,Tom Bertram,prepositions,8,7,7,1.0,0.875,0.125,M,major,M,intermediate
Edmund,Tom Bertram,quantifiers,8,3,3,1.0,0.875,0.125,M,major,M,intermediate
Fanny Price,Edmund,adverbs,90,59,50,0.847457627118644,0.8444444444444444,0.003013182674199588,F,major,M,major
Fanny Price,Edmund,articles,90,50,46,0.92,0.8444444444444444,0.0755555555555556,F,major,M,major
Fanny Price,Edmund,auxiliary_verbs,90,76,74,0.9736842105263158,0.9666666666666667,0.007017543859649145,F,major,M,major
Fanny Price,Edmund,conjunctions,90,62,57,0.9193548387096774,0.9,0.019354838709677358,F,major,M,major
Fanny Price,Edmund,impersonal_pronouns,90,47,44,0.9361702127659575,0.8555555555555555,0.08061465721040195,F,major,M,major
Fanny Price,Edmund,negations,90,49,35,0.7142857142857143,0.6888888888888889,0.025396825396825418,F,major,M,major
Fanny Price,Edmund,personal_pronouns,90,77,77,1.0,1.0,0.0,F,major,M,major
Fanny Price,Edmund,prepositions,90,68,64,0.9411764705882353,0.9444444444444444,-0.0032679738562091387,F,major,M,major
Fanny Price,Edmund,quantifiers,90,40,29,0.725,0.7333333333333333,-0.008333333333333304,F,major,M,major
Fanny Price,Henry Crawford,adverbs,13,11,8,0.7272727272727273,0.6923076923076923,0.034965034965035,F,major,M,major
Fanny Price,Henry Crawford,articles,13,5,3,0.6,0.46153846153846156,0.1384615384615384,F,major,M,major
Fanny Price,Henry Crawford,auxiliary_verbs,13,12,12,1.0,1.0,0.0,F,major,M,major
Fanny Price,Henry Crawford,conjunctions,13,6,5,0.8333333333333334,0.7692307692307693,0.0641025641025641,F,major,M,major
Fanny Price,Henry Crawford,impersonal_pronouns,13,8,5,0.625,0.6923076923076923,-0.06730769230769229,F,major,M,major
Fanny Price,Henry Crawford,negations,13,9,6,0.6666666666666666,0.6153846153846154,0.05128205128205121,F,major,M,major
Fanny Price,Henry Crawford,personal_pronouns,13,13,12,0.9230769230769231,0.9230769230769231,0.0,F,major,M,major
Fanny Price,Henry Crawford,prepositions,13,10,8,0.8,0.8461538461538461,-0.0461538461538461,F,major,M,major
Fanny Price,Henry Crawford,quantifiers,13,6,3,0.5,0.5384615384615384,-0.038461538461538436,F,major,M,major
Fanny Price,Lady Bertram,adverbs,5,3,2,0.6666666666666666,0.8,-0.13333333333333341,F,major,F,intermediate
Fanny Price,Lady Bertram,auxiliary_verbs,5,4,4,1.0,1.0,0.0,F,major,F,intermediate
Fanny Price,Lady Bertram,negations,5,3,3,1.0,0.6,0.4,F,major,F,intermediate
Fanny Price,Lady Bertram,personal_pronouns,5,5,5,1.0,1.0,0.0,F,major,F,intermediate
Fanny Price,Lady Bertram,prepositions,5,4,4,1.0,0.8,0.19999999999999996,F,major,F,intermediate
Fanny Price,Mary Crawford,adverbs,28,18,18,1.0,0.9285714285714286,0.0714285714285714,F,major,F,major
Fanny Price,Mary Crawford,articles,28,19,18,0.9473684210526315,0.8571428571428571,0.09022556390977443,F,major,F,major
Fanny Price,Mary Crawford,auxiliary_verbs,28,24,24,1.0,1.0,0.0,F,major,F,major
Fanny Price,Mary Crawford,conjunctions,28,17,17,1.0,0.9642857142857143,0.0357142857142857,F,major,F,major
Fanny Price,Mary Crawford,impersonal_pronouns,28,17,17,1.0,0.9285714285714286,0.0714285714285714,F,major,F,major
Fanny Price,Mary Crawford,negations,28,16,14,0.875,0.7857142857142857,0.0892857142857143,F,major,F,major
Fanny Price,Mary Crawford,personal_pronouns,28,26,26,1.0,1.0,0.0,F,major,F,major
Fanny Price,Mary Crawford,prepositions,28,24,24,1.0,0.9642857142857143,0.0357142857142857,F,major,F,major
Fanny Price,Mary Crawford,quantifiers,28,19,16,0.8421052631578947,0.8571428571428571,-0.015037593984962405,F,major,F,major
Fanny Price,Mr. Rushworth,adverbs,5,3,3,1.0,0.8,0.19999999999999996,F,major,M,intermediate
Fanny Price,Mr. Rushworth,auxiliary_verbs,5,5,5,1.0,1.0,0.0,F,major,M,intermediate
Fanny Price,Mr. Rushworth,impersonal_pronouns,5,3,1,0.3333333333333333,0.6,-0.26666666666666666,F,major,M,intermediate
Fanny Price,Mr. Rushworth,personal_pronouns,5,5,5,1.0,1.0,0.0,F,major,M,intermediate
Fanny Price,Mr. Rushworth,prepositions,5,3,3,1.0,1.0,0.0,F,major,M,intermediate
Fanny Price,Mrs. Norris,adverbs,4,3,3,1.0,1.0,0.0,F,major,F,intermediate
Fanny Price,Mrs. Norris,auxiliary_verbs,4,3,3,1.0,1.0,0.0,F,major,F,intermediate
Fanny Price,Mrs. Norris,personal_pronouns,4,3,3,1.0,1.0,0.0,F,major,F,intermediate
Fanny Price,Sir Thomas,adverbs,16,8,6,0.75,0.5625,0.1875,F,major,M,intermediate
Fanny Price,Sir Thomas,articles,16,3,1,0.3333333333333333,0.5625,-0.22916666666666669,F,major,M,intermediate
