a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Edmund,Fanny Price,adverbs,93,80,53,0.6625,0.6559139784946236,0.006586021505376349,M,major,F,major
Edmund,Fanny Price,articles,93,75,38,0.5066666666666667,0.5268817204301075,-0.020215053763440793,M,major,F,major
Edmund,Fanny Price,auxiliary_verbs,93,89,76,0.8539325842696629,0.8494623655913979,0.0044702186782650255,M,major,F,major
Edmund,Fanny Price,conjunctions,93,83,56,0.6746987951807228,0.6989247311827957,-0.0242259360020729,M,major,F,major
Edmund,Fanny Price,impersonal_pronouns,93,83,44,0.5301204819277109,0.5483870967741935,-0.01826661484648262,M,major,F,major
Edmund,Fanny Price,negations,93,61,32,0.5245901639344263,0.5376344086021505,-0.013044244667724247,M,major,F,major
Edmund,Fanny Price,personal_pronouns,93,92,79,0.8586956521739131,0.8602150537634409,-0.0015194015895277913,M,major,F,major
Edmund,Fanny Price,prepositions,93,84,63,0.75,0.7419354838709677,0.008064516129032251,M,major,F,major
Edmund,Fanny Price,quantifiers,93,66,33,0.5,0.46236559139784944,0.03763440860215056,M,major,F,major
Edmund,Henry Crawford,adverbs,8,6,5,0.8333333333333334,0.875,-0.04166666666666663,M,major,M,major
Edmund,Henry Crawford,articles,8,5,4,0.8,0.875,-0.07499999999999996,M,major,M,major
Edmund,Henry Crawford,auxiliary_verbs,8,7,7,1.0,1.0,0.0,M,major,M,major
Edmund,Henry Crawford,conjunctions,8,8,6,0.75,0.75,0.0,M,major,M,major
Edmund,Henry Crawford,impersonal_pronouns,8,7,5,0.7142857142857143,0.625,0.0892857142857143,M,major,M,major
Edmund,Henry Crawford,negations,8,3,2,0.6666666666666666,0.625,0.04166666666666663,M,major,M,major
Edmund,Henry Crawford,personal_pronouns,8,8,8,1.0,1.0,0.0,M,major,M,major
Edmund,Henry Crawford,prepositions,8,7,6,0.8571428571428571,0.875,-0.017857142857142905,M,major,M,major
Edmund,Henry Crawford,quantifiers,8,4,3,0.75,0.75,0.0,M,major,M,major
Edmund,Julia Bertram,adverbs,2,2,2,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Julia Bertram,articles,2,2,2,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Julia Bertram,auxiliary_verbs,2,2,2,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Julia Bertram,conjunctions,2,2,2,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Julia Bertram,impersonal_pronouns,2,2,2,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Julia Bertram,negations,2,2,2,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Julia Bertram,personal_pronouns,2,2,2,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Julia Bertram,prepositions,2,2,2,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Julia Bertram,quantifiers,2,2,2,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Lady Bertram,adverbs,11,7,6,0.8571428571428571,0.9090909090909091,-0.051948051948051965,M,major,F,intermediate
Edmund,Lady Bertram,articles,11,7,2,0.2857142857142857,0.36363636363636365,-0.07792207792207795,M,major,F,intermediate
Edmund,Lady Bertram,auxiliary_verbs,11,11,10,0.9090909090909091,0.9090909090909091,0.0,M,major,F,intermediate
Edmund,Lady Bertram,conjunctions,11,8,6,0.75,0.8181818181818182,-0.06818181818181823,M,major,F,intermediate
Edmund,Lady Bertram,impersonal_pronouns,11,6,1,0.16666666666666666,0.5454545454545454,-0.3787878787878788,M,major,F,intermediate
Edmund,Lady Bertram,negations,11,7,4,0.5714285714285714,0.6363636363636364,-0.06493506493506496,M,major,F,intermediate
Edmund,Lady Bertram,personal_pronouns,11,11,11,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Lady Bertram,prepositions,11,9,7,0.7777777777777778,0.7272727272727273,0.0505050505050505,M,major,F,intermediate
Edmund,Lady Bertram,quantifiers,11,6,0,0.0,0.2727272727272727,-0.2727272727272727,M,major,F,intermediate
Edmund,Maria Bertram,adverbs,6,2,1,0.5,0.8333333333333334,-0.33333333333333337,M,major,F,intermediate
Edmund,Maria Bertram,articles,6,3,3,1.0,0.8333333333333334,0.16666666666666663,M,major,F,intermediate
Edmund,Maria Bertram,auxiliary_verbs,6,5,5,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Maria Bertram,conjunctions,6,4,4,1.0,0.8333333333333334,0.16666666666666663,M,major,F,intermediate
Edmund,Maria Bertram,impersonal_pronouns,6,5,5,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Maria Bertram,negations,6,2,1,0.5,0.6666666666666666,-0.16666666666666663,M,major,F,intermediate
Edmund,Maria Bertram,personal_pronouns,6,5,5,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Maria Bertram,prepositions,6,4,4,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Maria Bertram,quantifiers,6,2,1,0.5,0.6666666666666666,-0.16666666666666663,M,major,F,intermediate
Edmund,Mary Crawford,adverbs,47,37,31,0.8378378378378378,0.8297872340425532,0.008050603795284661,M,major,F,major
Edmund,Mary Crawford,articles,47,37,32,0.8648648648648649,0.8723404255319149,-0.0074755606670500185,M,major,F,major
Edmund,Mary Crawford,auxiliary_verbs,47,44,44,1.0,1.0,0.0,M,major,F,major
Edmund,Mary Crawford,conjunctions,47,35,31,0.8857142857142857,0.851063829787234,0.03465045592705163,M,major,F,major
Edmund,Mary Crawford,impersonal_pronouns,47,33,28,0.8484848484848485,0.851063829787234,-0.0025789813023855412,M,major,F,major
Edmund,Mary Crawford,negations,47,29,19,0.6551724137931034,0.723404255319149,-0.06823184152604556,M,major,F,major
Edmund,Mary Crawford,personal_pronouns,47,43,41,0.9534883720930233,0.9574468085106383,-0.003958436417615063,M,major,F,major
Edmund,Mary Crawford,prepositions,47,41,41,1.0,1.0,0.0,M,major,F,major
Edmund,Mary Crawford,quantifiers,47,30,25,0.8333333333333334,0.7872340425531915,0.046099290780141855,M,major,F,major
Edmund,Mrs. Grant,adverbs,2,2,2,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Mrs. Grant,articles,2,2,2,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Mrs. Grant,auxiliary_verbs,2,2,2,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Mrs. Grant,conjunctions,2,2,2,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Mrs. Grant,personal_pronouns,2,2,2,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Mrs. Grant,prepositions,2,2,2,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Mrs. Norris,adverbs,6,3,3,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Mrs. Norris,articles,6,3,2,0.6666666666666666,0.6666666666666666,0.0,M,major,F,intermediate
Edmund,Mrs. Norris,auxiliary_verbs,6,6,6,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Mrs. Norris,conjunctions,6,3,3,1.0,0.8333333333333334,0.16666666666666663,M,major,F,intermediate
Edmund,Mrs. Norris,negations,6,2,2,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Mrs. Norris,personal_pronouns,6,5,5,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Mrs. Norris,prepositions,6,4,4,1.0,1.0,0.0,M,major,F,intermediate
Edmund,Mrs. Norris,quantifiers,6,2,0,0.0,0.3333333333333333,-0.3333333333333333,M,major,F,intermediate
Edmund,Sir Thomas,adverbs,2,2,2,1.0,1.0,0.0,M,major,M,intermediate
Edmund,Sir Thomas,articles,2,2,2,1.0,1.0,0.0,M,major,M,intermediate
Edmund,Sir Thomas,auxiliary_verbs,2,2,2,1.0,1.0,0.0,M,major,M,intermediate
Edmund,Sir Thomas,conjunctions,2,2,2,1.0,1.0,0.0,M,major,M,intermediate
Edmund,Sir Thomas,impersonal_pronouns,2,2,2,1.0,1.0,0.0,M,major,M,intermediate
Edmund,Sir Thomas,negations,2,2,2,1.0,1.0,0.0,M,major,M,intermediate
Edmund,Sir Thomas,personal_pronouns,2,2,2,1.0,1.0,0.0,M,major,M,intermediate
Edmund,Sir Thomas,prepositions,2,2,2,1.0,1.0,0.0,M,major,M,intermediate
Edmund,Tom Bertram,adverbs,8,6,6,1.0,1.0,0.0,M,major,M,intermediate
Edmund,Tom Bertram,articles,8,5,5,1.0,0.75,0.25,M,major,M,intermediate
Edmund,Tom Bertram,auxiliary_verbs,8,8,7,0.875,0.875,0.0,M,major,M,intermediate
Edmund,Tom Bertram,conjunctions,8,5,5,1.0,0.875,0.125,M,major,M,intermediate
Edmund,Tom Bertram,impersonal_pronouns,8,5,4,0.8,0.875,-0.07499999999999996,M,major,M,intermediate
Edmund,Tom Bertram,negations,8,7,6,0.8571428571428571,0.875,-0.017857142857142905,M,major,M,intermediate
Edmund,Tom Bertram,personal_pronouns,8,7,6,0.8571428571428571,0.875,-0.017857142857142905,M,major,M,intermediate
Edmund,Tom Bertram,prepositions,8,7,6,0.8571428571428571,0.875,-0.017857142857142905,M,major,M,intermediate
Edmund,Tom Bertram,quantifiers,8,3,3,1.0,0.875,0.125,M,major,M,intermediate
Fanny Price,Edmund,adverbs,91,60,51,0.85,0.8461538461538461,0.0038461538461538325,F,major,M,major
Fanny Price,Edmund,articles,91,50,43,0.86,0.8351648351648352,0.02483516483516479,F,major,M,major
Fanny Price,Edmund,auxiliary_verbs,91,77,74,0.961038961038961,0.9560439560439561,0.004995004995004937,F,major,M,major
Fanny Price,Edmund,conjunctions,91,63,57,0.9047619047619048,0.8901098901098901,0.014652014652014711,F,major,M,major
Fanny Price,Edmund,impersonal_pronouns,91,48,38,0.7916666666666666,0.8461538461538461,-0.054487179487179516,F,major,M,major
Fanny Price,Edmund,negations,91,50,36,0.72,0.6813186813186813,0.03868131868131863,F,major,M,major
Fanny Price,Edmund,personal_pronouns,91,78,78,1.0,0.989010989010989,0.01098901098901095,F,major,M,major
Fanny Price,Edmund,prepositions,91,69,65,0.9420289855072463,0.9340659340659341,0.007963051441312263,F,major,M,major
Fanny Price,Edmund,quantifiers,91,41,28,0.6829268292682927,0.7252747252747253,-0.04234789600643252,F,major,M,major
Fanny Price,Henry Crawford,adverbs,14,11,7,0.6363636363636364,0.7142857142857143,-0.07792207792207795,F,major,M,major
Fanny Price,Henry Crawford,articles,14,5,2,0.4,0.42857142857142855,-0.028571428571428525,F,major,M,major
Fanny Price,Henry Crawford,auxiliary_verbs,14,12,12,1.0,1.0,0.0,F,major,M,major
Fanny Price,Henry Crawford,conjunctions,14,6,4,0.6666666666666666,0.7857142857142857,-0.11904761904761907,F,major,M,major
Fanny Price,Henry Crawford,impersonal_pronouns,14,8,5,0.625,0.6428571428571429,-0.017857142857142905,F,major,M,major
Fanny Price,Henry Crawford,negations,14,10,8,0.8,0.6428571428571429,0.15714285714285714,F,major,M,major
Fanny Price,Henry Crawford,personal_pronouns,14,13,12,0.9230769230769231,0.9285714285714286,-0.005494505494505475,F,major,M,major
Fanny Price,Henry Crawford,prepositions,14,10,9,0.9,0.8571428571428571,0.04285714285714293,F,major,M,major
Fanny Price,Henry Crawford,quantifiers,14,6,3,0.5,0.5714285714285714,-0.0714285714285714,F,major,M,major
Fanny Price,Julia Bertram,adverbs,2,2,2,1.0,1.0,0.0,F,major,F,intermediate
Fanny Price,Julia Bertram,articles,2,2,2,1.0,1.0,0.0,F,major,F,intermediate
Fanny Price,Julia Bertram,auxiliary_verbs,2,2,2,1.0,1.0,0.0,F,major,F,intermediate
