a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Edmund,Fanny Price,9,9,53,-0.09395943562610228,-0.07756813417190775,M,major,F,major
Edmund,Henry Crawford,3,3,9,0.0,0.0,M,major,M,major
Edmund,Lady Bertram,8,4,30,-0.020833333333333343,-0.016666666666666673,M,major,F,intermediate
Edmund,Maria Bertram,9,3,27,0.0,0.0,M,major,F,intermediate
Edmund,Mary Crawford,9,5,37,0.0037037037037036904,0.005405405405405395,M,major,F,major
Edmund,Mrs. Norris,7,4,25,0.07142857142857141,0.059999999999999984,M,major,F,intermediate
Edmund,Tom Bertram,9,4,33,-0.018518518518518528,-0.015151515151515159,M,major,M,intermediate
Fanny Price,Edmund,9,8,60,-0.0314814814814815,-0.03125000000000002,F,major,M,major
Fanny Price,Henry Crawford,4,3,12,0.0,0.0,F,major,M,major
Fanny Price,Lady Bertram,3,3,9,0.0,0.0,F,major,F,intermediate
Fanny Price,Mary Crawford,8,6,42,-0.024999999999999998,-0.023809523809523808,F,major,F,major
Henry Crawford,Fanny Price,9,5,36,-6.1679056923619804e-18,0.005555555555555551,M,major,F,major
Henry Crawford,Mary Crawford,8,4,25,-0.020833333333333343,-0.020000000000000007,M,major,F,major
Julia Bertram,Fanny Price,9,4,34,-0.018518518518518528,-0.014705882352941183,F,intermediate,F,major
Lady Bertram,Edmund,8,6,30,0.04791666666666666,0.05555555555555556,F,intermediate,M,major
Lady Bertram,Fanny Price,3,4,11,-0.02777777777777779,-0.02272727272727274,F,intermediate,F,major
Lady Bertram,Sir Thomas,5,3,15,0.0,0.0,F,intermediate,M,intermediate
Maria Bertram,Fanny Price,1,3,3,0.0,0.0,F,intermediate,F,major
Mary Crawford,Edmund,8,4,28,-0.0625,-0.05357142857142857,F,major,M,major
Mary Crawford,Fanny Price,9,7,54,0.016137566137566173,0.005291005291005324,F,major,F,major
Mary Crawford,Henry Crawford,8,4,28,0.08333333333333331,0.07142857142857141,F,major,M,major
Mary Crawford,Mrs. Grant,8,3,24,0.0,0.0,F,major,F,intermediate
Mrs. Norris,Edmund,9,4,35,-0.01851851851851852,-0.014285714285714285,F,intermediate,M,major
Mrs. Norris,Fanny Price,1,3,3,0.0,0.0,F,intermediate,F,major
Mrs. Norris,Sir Thomas,8,4,27,-0.020833333333333343,-0.018518518518518528,F,intermediate,M,intermediate
Sir Thomas,Fanny Price,9,4,33,0.009259259259259252,0.007575757575757569,M,intermediate,F,major
Sir Thomas,Lady Bertram,1,3,3,0.0,0.0,M,intermediate,F,intermediate
Sir Thomas,Mrs. Norris,4,3,12,0.0,0.0,M,intermediate,F,intermediate
Tom Bertram,Maria Bertram,7,3,21,0.0,0.0,M,intermediate,F,intermediate
