family,gender,mean_conv
adverbs,F,-0.0006015510196860031
adverbs,M,0.02142408837644569
articles,F,0.02149575964926969
articles,M,-0.001395787236748338
auxiliary_verbs,F,-4.026099516621525e-05
auxiliary_verbs,M,0.001552848405825135
conjunctions,F,0.010679161338230036
conjunctions,M,0.003925699448246216
impersonal_pronouns,F,0.027822859829130648
impersonal_pronouns,M,0.039661604213315285
negations,F,0.021622409092397075
negations,M,0.01988939581902969
personal_pronouns,F,-0.002331165327097987
personal_pronouns,M,0.013252122739380536
prepositions,F,0.0031899136761271915
prepositions,M,0.004641400933162947
quantifiers,F,0.014007960443776155
quantifiers,M,-0.007493719932394766
