family,gender,mean_conv
adverbs,F,-0.006227106227106231
adverbs,M,0.010606060606060598
articles,F,-0.022089947089947087
articles,M,-0.012777777777777787
auxiliary_verbs,F,-0.008333333333333335
auxiliary_verbs,M,-0.008838383838383838
conjunctions,F,0.014583333333333342
conjunctions,M,0.014444444444444449
impersonal_pronouns,F,0.036243386243386244
impersonal_pronouns,M,0.0055555555555555506
negations,F,-0.011904761904761911
negations,M,-0.02611111111111113
personal_pronouns,F,-0.005952380952380955
personal_pronouns,M,-0.0025252525252525263
prepositions,F,-0.004464285714285726
prepositions,M,-0.016507936507936517
quantifiers,F,-0.024404761904761908
quantifiers,M,-0.04652777777777778
