family,gender,mean_conv
adverbs,F,-0.0020224453417730863
adverbs,M,-0.026253707782124623
articles,F,0.03407429146224664
articles,M,-0.021456640148338237
auxiliary_verbs,F,0.0006641834033182172
auxiliary_verbs,M,0.0016089651042484445
conjunctions,F,0.01416731476734426
conjunctions,M,-0.01763044516841063
impersonal_pronouns,F,0.0069137323768801015
impersonal_pronouns,M,-0.016486468654660868
negations,F,-0.024657325026202093
negations,M,-0.03565135757982004
personal_pronouns,F,-0.0007114832591364702
personal_pronouns,M,0.0030771030265469073
prepositions,F,-0.001140470777967654
prepositions,M,-0.007981556187443716
quantifiers,F,-0.005050220441064293
quantifiers,M,-0.008102880190637094
