family,gender,mean_conv
adverbs,F,0.013329759214384073
adverbs,M,0.02060651920550298
articles,F,0.03348739298441849
articles,M,0.01845547936540584
auxiliary_verbs,F,-0.0007978378642844428
auxiliary_verbs,M,0.0031320756687562437
conjunctions,F,0.009601381718571963
conjunctions,M,0.00014661173974899375
impersonal_pronouns,F,0.038605664042129756
impersonal_pronouns,M,0.004713840781067667
negations,F,0.017139901795356578
negations,M,0.04011043898911545
personal_pronouns,F,-0.00042842033550346344
personal_pronouns,M,0.0007278086605536638
prepositions,F,0.007415294596908977
prepositions,M,0.009506815501373509
quantifiers,F,0.04679658850941257
quantifiers,M,0.004842748598140599
