family,gender,mean_conv
adverbs,F,0.004315476190476182
adverbs,M,-0.004166666666666666
articles,F,-0.021916971916971915
articles,M,-0.006944444444444457
auxiliary_verbs,F,-0.008159722222222221
auxiliary_verbs,M,-0.009259259259259264
conjunctions,F,0.00927960927960929
conjunctions,M,0.02208994708994709
impersonal_pronouns,F,0.010561660561660562
impersonal_pronouns,M,0.035714285714285705
negations,F,0.013059163059163048
negations,M,-0.07142857142857144
personal_pronouns,F,-0.0069444444444444475
personal_pronouns,M,0.0
prepositions,F,-0.012698412698412705
prepositions,M,-0.0059523809523809685
quantifiers,F,-0.05873015873015872
quantifiers,M,0.004251700680272094
