family,gender,mean_conv
adverbs,F,-0.007166321406857013
adverbs,M,-0.009167754140198941
articles,F,-0.006475678946616821
articles,M,-0.014545512698086228
auxiliary_verbs,F,0.001979939913493335
auxiliary_verbs,M,-0.0021310822259805974
conjunctions,F,-0.0013279226568698988
conjunctions,M,0.029511691104828357
impersonal_pronouns,F,-0.009556725787237583
impersonal_pronouns,M,0.029566448490818235
negations,F,0.008030312025789419
negations,M,0.029103494544671003
personal_pronouns,F,0.00011790833582520592
personal_pronouns,M,-0.0015075628055870338
prepositions,F,0.0038577087718812885
prepositions,M,0.00583640759755599
quantifiers,F,-0.018193488357395603
quantifiers,M,-0.021514684619048714
