family,importance,mean_conv
adverbs,intermediate,0.012254793137146091
adverbs,major,0.0019042594123305306
adverbs,minor,0.037500000000000006
articles,intermediate,0.0203060828060828
articles,major,0.005893267044931374
articles,minor,0.0
auxiliary_verbs,intermediate,-0.00015432098765432044
auxiliary_verbs,major,0.0015957775239351418
auxiliary_verbs,minor,0.0
conjunctions,intermediate,-0.0035045517142703875
conjunctions,major,0.014940109786270975
conjunctions,minor,0.019999999999999997
impersonal_pronouns,intermediate,0.021450278343660697
impersonal_pronouns,major,0.042454360516263175
impersonal_pronouns,minor,0.04999999999999999
negations,intermediate,0.021334681361419323
negations,major,0.02426601731893122
negations,minor,0.0
personal_pronouns,intermediate,-0.0017146433813100487
personal_pronouns,major,0.01160153800490408
personal_pronouns,minor,0.0
prepositions,intermediate,0.00767613717981365
prepositions,major,0.001278444218129083
prepositions,minor,0.0
quantifiers,intermediate,0.035080143168378465
quantifiers,major,-0.024795347362155013
quantifiers,minor,0.04166666666666666
